Drug1,Drug2,Cell line,Cosmic sample Id,synergy,Tissue,log_synergy,predict,abs_error
ERLOTINIB,PACLITAXEL,NCIH520,908443,2.9568336036,lung,2.9568336,2.7245677,0.23226595
BEZ-235,DEXAMETHASONE,UWB1289,1480374,32.4448470589,urogenital_system,32.444847,32.21064,0.23420715
SUNITINIB,CYCLOPHOSPHAMIDE,SKMEL30,909726,1.3897223877,skin,1.3897223,1.6284151,0.23869276
DINACICLIB,PACLITAXEL,SK-OV-3,905959,-18.0524935037,urogenital_system,-18.052494,-18.292418,0.23992348
GELDANAMYCIN,SUNITINIB,HCT116,905936,23.7323886235,digestive_system,23.73239,23.485865,0.24652481
PACLITAXEL,MK-2206,UACC62,905976,24.6346153289,skin,24.634615,24.885801,0.25118637
GELDANAMYCIN,SUNITINIB,NCIH2122,722046,-0.2935596512,lung,-0.29355964,-0.04230222,0.25125742
DINACICLIB,PACLITAXEL,LOVO,907790,-5.7617639532,digestive_system,-5.761764,-5.5041776,0.25758648
MK-8776,ERLOTINIB,OV90,1240197,5.0422857722,urogenital_system,5.042286,4.7768846,0.26540136
METFORMIN,MK-4827,UWB1289,1480374,4.1874045403,urogenital_system,4.1874046,4.453021,0.26561642
MK-4827,GELDANAMYCIN,MSTO,908152,-9.0043306248,lung,-9.004331,-8.732591,0.27173996
ERLOTINIB,MK-4541,NCIH2122,722046,13.5413059415,lung,13.541306,13.265162,0.27614307
SORAFENIB,ERLOTINIB,A375,906793,17.3204330647,skin,17.320433,17.040415,0.28001785
ZOLINZA,SUNITINIB,NCIH23,905942,-16.7195238609,lung,-16.719524,-17.005325,0.28580093
VINORELBINE,MRK-003,T-47D,905945,4.9050173457,breast,4.9050174,4.6135573,0.29146004
PACLITAXEL,GELDANAMYCIN,OCUBM,909256,4.8363704729,breast,4.8363705,5.133826,0.2974553
BEZ-235,MK-4827,NCIH1650,687800,7.6778640734,lung,7.677864,7.976666,0.2988019
MK-4827,BORTEZOMIB,SKMEL30,909726,-1.8572475636,skin,-1.8572476,-1.557389,0.29985857
SUNITINIB,PACLITAXEL,UACC62,905976,3.4433390044,skin,3.443339,3.136635,0.30670404
DEXAMETHASONE,AZD1775,NCIH23,905942,2.8808238722,lung,2.8808239,2.5708165,0.31000733
MK-4827,METFORMIN,UWB1289,1480374,4.1874045403,urogenital_system,4.1874046,4.5052915,0.31788683
DEXAMETHASONE,BEZ-235,NCIH520,908443,26.8048139543,lung,26.804813,27.127237,0.32242393
ERLOTINIB,OXALIPLATIN,SW837,909755,-5.11531975,digestive_system,-5.1153197,-4.7861753,0.32914448
MK-5108,PACLITAXEL,T-47D,905945,13.492939029,breast,13.492939,13.163225,0.32971382
AZD1775,PACLITAXEL,OV90,1240197,-6.260132692,urogenital_system,-6.260133,-5.92883,0.33130264
PACLITAXEL,DASATINIB,RKO,909698,17.8551366516,digestive_system,17.855137,18.190756,0.33561897
MK-2206,DEXAMETHASONE,LNCAP,907788,-4.1043839574,urogenital_system,-4.104384,-3.7671137,0.33727026
DEXAMETHASONE,MK-4827,OV90,1240197,-9.3985902648,urogenital_system,-9.39859,-9.053996,0.344594
MRK-003,VINORELBINE,T-47D,905945,4.9050173457,breast,4.9050174,4.5494514,0.35556602
MK-4827,ETOPOSIDE,LOVO,907790,3.2843359659,digestive_system,3.2843359,3.6456375,0.36130166
SUNITINIB,DINACICLIB,NCIH1650,687800,6.0732584723,lung,6.0732584,6.44076,0.36750174
ERLOTINIB,TEMOZOLOMIDE,SK-OV-3,905959,-6.8656489014,urogenital_system,-6.8656487,-6.4898396,0.3758092
VINBLASTINE,SUNITINIB,NCIH23,905942,-18.8631606254,lung,-18.863161,-18.487272,0.37588882
ETOPOSIDE,MK-4827,LOVO,907790,3.2843359659,digestive_system,3.2843359,2.9081182,0.3762176
MK-4827,VINORELBINE,MSTO,908152,-6.4621452373,lung,-6.4621453,-6.083307,0.37883854
ABT-888,PACLITAXEL,NCIH1650,687800,-7.7606126489,lung,-7.7606125,-8.145183,0.38457012
SUNITINIB,MK-2206,RPMI7951,910903,10.2812449005,skin,10.281245,9.880024,0.40122128
SUNITINIB,MK-2206,HT144,907067,23.4319584353,skin,23.43196,23.028738,0.40322113
ZOLINZA,MK-4827,MSTO,908152,45.7388595904,lung,45.73886,46.14396,0.40509796
LAPATINIB,PACLITAXEL,NCIH1650,687800,10.9450659024,lung,10.9450655,10.53789,0.40717506
PACLITAXEL,DINACICLIB,SK-OV-3,905959,-18.0524935037,urogenital_system,-18.052494,-18.467833,0.41533852
ERLOTINIB,METFORMIN,HT144,907067,-3.4728603705,skin,-3.4728603,-3.0518734,0.4209869
MK-8669,SUNITINIB,A2058,906792,39.694651966,skin,39.694653,40.127003,0.43235016
PACLITAXEL,L778123,SK-OV-3,905959,4.536174908,urogenital_system,4.536175,4.101326,0.4348488
ZOLINZA,VINORELBINE,A375,906793,-27.3184479828,skin,-27.318447,-27.7544,0.43595314
DOXORUBICIN,MK-4827,UWB1289,1480374,-0.2095963688,urogenital_system,-0.20959637,-0.6467456,0.43714926
CYCLOPHOSPHAMIDE,ERLOTINIB,NCIH2122,722046,5.4168465858,lung,5.4168468,4.96967,0.44717693
MK-2206,ERLOTINIB,MDAMB436,1240172,17.5141539742,breast,17.514154,17.9675,0.45334625
MK-4827,GEMCITABINE,SKMES1,909728,-17.4627696639,lung,-17.46277,-17.004221,0.4585495
PACLITAXEL,SUNITINIB,OV90,1240197,2.6817559653,urogenital_system,2.681756,2.2085063,0.47324967
GELDANAMYCIN,SUNITINIB,UWB1289,1480374,-8.6992949985,urogenital_system,-8.699295,-9.174325,0.47502995
MK-2206,SUNITINIB,A375,906793,22.7852001559,skin,22.7852,23.262415,0.4772148
ERLOTINIB,DOXORUBICIN,T-47D,905945,23.9114139301,breast,23.911413,23.430946,0.48046684
SN-38,ERLOTINIB,A2058,906792,14.2345543965,skin,14.234554,13.753444,0.48111057
MK-4827,ABT-888,OV90,1240197,0.2349067495,urogenital_system,0.23490675,0.7195319,0.48462516
MK-4827,LAPATINIB,UACC62,905976,9.6916229752,skin,9.691623,10.176372,0.48474884
CYCLOPHOSPHAMIDE,SUNITINIB,SW837,909755,-1.079094363,digestive_system,-1.0790944,-1.5646994,0.485605
SUNITINIB,MK-5108,LNCAP,907788,-24.4631433982,urogenital_system,-24.463144,-23.977234,0.48591042
SORAFENIB,DEXAMETHASONE,OV90,1240197,2.4475157048,urogenital_system,2.4475157,2.937343,0.48982716
TEMOZOLOMIDE,SUNITINIB,OV90,1240197,0.0242759158,urogenital_system,0.024275916,-0.4670149,0.49129084
ERLOTINIB,DEXAMETHASONE,OCUBM,909256,8.0125158081,breast,8.012516,8.5050535,0.4925375
ETOPOSIDE,ERLOTINIB,OV90,1240197,10.8358656892,urogenital_system,10.835866,11.329906,0.4940405
MK-4827,SUNITINIB,SKMES1,909728,-0.3834474455,lung,-0.38344744,0.11339791,0.49684536
ERLOTINIB,METFORMIN,A375,906793,1.0174971376,skin,1.0174972,0.5167699,0.5007273
ERLOTINIB,ETOPOSIDE,OV90,1240197,10.8358656892,urogenital_system,10.835866,10.329457,0.5064087
DOXORUBICIN,ERLOTINIB,OVCAR3,905933,-11.4060550688,urogenital_system,-11.406055,-11.918127,0.5120716
MK-8776,VINORELBINE,NCIH2122,722046,-34.7723177966,lung,-34.772316,-35.29576,0.5234451
VINORELBINE,ZOLINZA,LOVO,907790,3.3307792359,digestive_system,3.3307793,3.8547297,0.52395034
ABT-888,SUNITINIB,A2058,906792,11.5575850657,skin,11.557585,12.085077,0.5274925
SUNITINIB,ZOLINZA,HCT116,905936,5.0539656864,digestive_system,5.0539656,4.5256515,0.5283141
MK-4827,PD325901,NCIH1650,687800,-10.3919106172,lung,-10.391911,-9.859509,0.5324011
SORAFENIB,MK-4827,LOVO,907790,-5.5996143495,digestive_system,-5.599614,-5.0619903,0.5376239
ERLOTINIB,ZOLINZA,HCT116,905936,-0.6286005348,digestive_system,-0.62860054,-0.08898114,0.5396194
MK-8669,MK-4827,RPMI7951,910903,19.8565546335,skin,19.856554,19.315348,0.54120636
ERLOTINIB,SUNITINIB,RPMI7951,910903,2.3654943963,skin,2.3654945,2.9089599,0.5434654
SUNITINIB,MK-4827,NCIH520,908443,3.2067937654,lung,3.2067938,2.6632724,0.5435214
DASATINIB,ERLOTINIB,VCAP,1299075,19.8498370784,urogenital_system,19.849836,19.30487,0.54496574
ZOLINZA,PACLITAXEL,SKMEL30,909726,-0.860674872,skin,-0.86067486,-0.31013942,0.55053544
DEXAMETHASONE,PD325901,A2058,906792,3.5088316503,skin,3.5088317,4.072071,0.56323934
MK-2206,PACLITAXEL,RPMI7951,910903,9.5869474204,skin,9.586947,9.021792,0.565155
DOXORUBICIN,MK-4827,VCAP,1299075,8.1636128334,urogenital_system,8.163612,7.5969114,0.56670094
ZOLINZA,SUNITINIB,OCUBM,909256,-5.343150497,breast,-5.3431506,-5.9112487,0.56809807
TEMOZOLOMIDE,DEXAMETHASONE,A375,906793,-1.5948956105,skin,-1.5948956,-2.164932,0.5700364
PACLITAXEL,BORTEZOMIB,OV90,1240197,-8.8154937099,urogenital_system,-8.815494,-9.389145,0.5736513
MK-8669,SUNITINIB,OV90,1240197,24.2219143869,urogenital_system,24.221914,24.796703,0.57478905
DEXAMETHASONE,MK-8776,NCIH1650,687800,6.2021920576,lung,6.202192,6.786067,0.5838752
MK-4827,METFORMIN,SW837,909755,-14.7778857944,digestive_system,-14.777885,-14.188147,0.58973885
VINBLASTINE,SUNITINIB,VCAP,1299075,6.3440139917,urogenital_system,6.344014,6.9356494,0.5916352
VINORELBINE,BORTEZOMIB,SKMES1,909728,-24.4635291699,lung,-24.46353,-25.057455,0.5939255
MK-4827,MK-5108,MSTO,908152,4.0279909436,lung,4.027991,4.6241846,0.5961938
GELDANAMYCIN,PACLITAXEL,RPMI7951,910903,-7.9125704125,skin,-7.9125705,-7.3087206,0.6038499
PD325901,MK-4827,NCIH520,908443,-8.9266439905,lung,-8.926644,-8.313557,0.61308765
MK-2206,DEXAMETHASONE,NCIH23,905942,3.0703185711,lung,3.0703185,2.456914,0.6134045
DEXAMETHASONE,ERLOTINIB,OCUBM,909256,8.0125158081,breast,8.012516,7.398205,0.6143112
SUNITINIB,LAPATINIB,NCIH1650,687800,26.4057956575,lung,26.405796,25.785072,0.6207237
PACLITAXEL,MK-4541,NCIH1650,687800,3.6075165886,lung,3.6075165,2.9865103,0.62100625
SUNITINIB,OXALIPLATIN,NCIH23,905942,-18.3491041716,lung,-18.349104,-18.97021,0.6211052
ERLOTINIB,GELDANAMYCIN,RKO,909698,2.1746192737,digestive_system,2.1746192,1.552866,0.6217532
VINORELBINE,ABT-888,NCIH2122,722046,-11.4513456494,lung,-11.451345,-12.078914,0.62756824
DEXAMETHASONE,MK-4541,NCIH2122,722046,9.381140476,lung,9.381141,8.752716,0.62842464
CARBOPLATIN,ERLOTINIB,MDAMB436,1240172,9.0660629835,breast,9.066063,8.436428,0.62963486
L778123,ERLOTINIB,SK-OV-3,905959,16.9332579525,urogenital_system,16.933258,17.567936,0.6346779
5-FU,MK-4827,SK-OV-3,905959,-0.0609455568,urogenital_system,-0.060945556,0.57582957,0.63677514
MK-4827,MK-8776,UWB1289,1480374,-14.4285337696,urogenital_system,-14.428534,-15.066243,0.6377096
MK-4827,BEZ-235,RKO,909698,13.9373828606,digestive_system,13.937383,14.575664,0.63828087
DINACICLIB,SUNITINIB,MDAMB436,1240172,4.9130058518,breast,4.913006,4.2733088,0.6396971
ERLOTINIB,SN-38,A2058,906792,14.2345543965,skin,14.234554,13.58549,0.64906406
DINACICLIB,SUNITINIB,HCT116,905936,-1.6217115405,digestive_system,-1.6217115,-0.96903867,0.6526728
DEXAMETHASONE,GELDANAMYCIN,RKO,909698,7.5826284399,digestive_system,7.5826283,6.9197,0.6629281
MK-4827,ZOLINZA,A2058,906792,0.1676616435,skin,0.16766164,-0.49570793,0.66336954
ABT-888,PACLITAXEL,OV90,1240197,-3.1154025859,urogenital_system,-3.1154027,-2.4498563,0.6655464
DEXAMETHASONE,SORAFENIB,OV90,1240197,2.4475157048,urogenital_system,2.4475157,1.7812209,0.6662948
SUNITINIB,DINACICLIB,MDAMB436,1240172,4.9130058518,breast,4.913006,5.6000075,0.6870017
SUNITINIB,ERLOTINIB,A375,906793,18.5022952055,skin,18.502295,19.189837,0.68754196
SUNITINIB,AZD1775,NCIH2122,722046,-6.890146387,lung,-6.8901463,-7.577727,0.6875806
SUNITINIB,MITOMYCINE,A375,906793,11.7255296126,skin,11.72553,11.030474,0.69505596
VINORELBINE,AZD1775,MDAMB436,1240172,-0.8931716097,breast,-0.8931716,-0.19463181,0.6985398
DEXAMETHASONE,ERLOTINIB,LNCAP,907788,-21.6613771634,urogenital_system,-21.661377,-22.36295,0.7015724
ABT-888,VINORELBINE,HCT116,905936,-10.4289177767,digestive_system,-10.428918,-11.134056,0.7051382
VINORELBINE,MK-4541,T-47D,905945,-9.7309193431,breast,-9.730919,-9.025465,0.7054539
AZD1775,ERLOTINIB,A2058,906792,6.9779629489,skin,6.977963,6.269314,0.70864916
VINORELBINE,ABT-888,RKO,909698,-1.336451327,digestive_system,-1.3364513,-0.6272053,0.709246
PACLITAXEL,TEMOZOLOMIDE,MSTO,908152,-2.0215073999,lung,-2.0215075,-1.2990344,0.72247314
MK-4827,MK-4541,HT144,907067,-8.9699789203,skin,-8.969979,-8.246652,0.72332764
SUNITINIB,DINACICLIB,SK-OV-3,905959,-9.4809128503,urogenital_system,-9.480913,-8.7465925,0.73432064
GEMCITABINE,ERLOTINIB,NCIH1650,687800,-7.3209055843,lung,-7.3209057,-6.582076,0.7388296
MK-4541,SUNITINIB,A2058,906792,9.0249743652,skin,9.024975,9.773635,0.7486601
MK-8776,DEXAMETHASONE,OVCAR3,905933,9.7297629462,urogenital_system,9.729763,8.979922,0.74984074
PACLITAXEL,SORAFENIB,HCT116,905936,-0.1252417536,digestive_system,-0.12524176,0.6247699,0.7500117
ERLOTINIB,DASATINIB,VCAP,1299075,19.8498370784,urogenital_system,19.849836,19.08808,0.7617569
MK-4827,VINORELBINE,A375,906793,-15.7736201034,skin,-15.77362,-16.53697,0.7633505
5-FU,MK-4827,HCT116,905936,8.0324018449,digestive_system,8.032402,7.2629337,0.7694683
MK-4827,SORAFENIB,OV90,1240197,-1.4796869507,urogenital_system,-1.479687,-0.70734537,0.7723416
ERLOTINIB,MK-2206,A2058,906792,18.2910622569,skin,18.291061,17.518202,0.7728596
VINORELBINE,MK-4827,MSTO,908152,-6.4621452373,lung,-6.4621453,-7.235224,0.77307844
VINORELBINE,ZOLINZA,SK-OV-3,905959,22.7417461563,urogenital_system,22.741747,21.966976,0.77477074
ERLOTINIB,METFORMIN,NCIH2122,722046,1.3676740617,lung,1.3676741,0.5894364,0.7782377
PACLITAXEL,ABT-888,NCIH520,908443,-0.0308107197,lung,-0.03081072,0.75292635,0.78373706
SUNITINIB,DINACICLIB,SKMEL30,909726,1.784029189,skin,1.7840292,2.5734382,0.7894089
ZOLINZA,VINORELBINE,SK-OV-3,905959,22.7417461563,urogenital_system,22.741747,21.945303,0.79644394
ERLOTINIB,MK-2206,MDAMB436,1240172,17.5141539742,breast,17.514154,16.715551,0.79860306
DEXAMETHASONE,BEZ-235,SK-OV-3,905959,15.7922015419,urogenital_system,15.792202,14.993422,0.79878044
BEZ-235,MK-4827,RPMI7951,910903,17.4868958083,skin,17.486897,16.686972,0.79992485
DINACICLIB,SUNITINIB,OCUBM,909256,4.7324926131,breast,4.7324924,5.533652,0.8011594
MK-4827,SUNITINIB,NCIH520,908443,3.2067937654,lung,3.2067938,2.3973925,0.8094013
LAPATINIB,MK-4827,T-47D,905945,-6.9637960753,breast,-6.963796,-7.776674,0.81287766
MITOMYCINE,MK-4827,NCIH1650,687800,-0.1789956997,lung,-0.1789957,-0.99388963,0.81489396
ETOPOSIDE,SUNITINIB,NCIH520,908443,13.7160188072,lung,13.716019,14.533695,0.81767654
SUNITINIB,ERLOTINIB,RPMI7951,910903,2.3654943963,skin,2.3654945,3.1844928,0.81899834
MK-8669,PACLITAXEL,A2058,906792,10.9895380957,skin,10.989538,10.168817,0.8207216
VINBLASTINE,MK-4827,UWB1289,1480374,-23.3949957745,urogenital_system,-23.394997,-24.215782,0.8207855
ERLOTINIB,BORTEZOMIB,NCIH2122,722046,-3.4257373886,lung,-3.4257374,-4.2474318,0.8216944
SUNITINIB,MK-4541,A2058,906792,9.0249743652,skin,9.024975,8.192007,0.83296776
PD325901,PACLITAXEL,SK-OV-3,905959,7.9805049197,urogenital_system,7.980505,7.146024,0.83448076
PACLITAXEL,ERLOTINIB,VCAP,1299075,11.3795904634,urogenital_system,11.37959,10.524734,0.8548565
CYCLOPHOSPHAMIDE,SUNITINIB,LOVO,907790,0.8088757055,digestive_system,0.8088757,1.6646936,0.8558179
L778123,SUNITINIB,VCAP,1299075,13.581039813,urogenital_system,13.581039,12.722754,0.8582859
VINORELBINE,MK-8776,NCIH2122,722046,-34.7723177966,lung,-34.772316,-33.907795,0.864521
MK-4827,ETOPOSIDE,MDAMB436,1240172,17.9478713885,breast,17.947872,17.082186,0.8656864
MK-4541,ERLOTINIB,NCIH2122,722046,13.5413059415,lung,13.541306,14.421155,0.87984943
SUNITINIB,SN-38,VCAP,1299075,18.6332071198,urogenital_system,18.633207,17.753222,0.8799858
OXALIPLATIN,ERLOTINIB,SW837,909755,-5.11531975,digestive_system,-5.1153197,-5.9975276,0.8822079
MK-4827,BEZ-235,NCIH1650,687800,7.6778640734,lung,7.677864,6.795359,0.88250494
METHOTREXATE,MK-4827,MDAMB436,1240172,-1.1879375272,breast,-1.1879375,-0.3037848,0.8841527
MK-4827,DASATINIB,SW837,909755,19.0086268452,digestive_system,19.008627,18.116474,0.8921528
LAPATINIB,MK-4827,OV90,1240197,-6.2915371402,urogenital_system,-6.2915373,-7.1946945,0.90315723
MK-4827,5-FU,NCIH23,905942,-10.5263423251,lung,-10.526342,-9.617917,0.90842533
AZD1775,DEXAMETHASONE,LNCAP,907788,-10.937988021,urogenital_system,-10.937988,-11.849373,0.9113846
MK-4827,SORAFENIB,NCIH520,908443,9.0800379182,lung,9.080038,9.995698,0.9156599
ERLOTINIB,AZD1775,A2058,906792,6.9779629489,skin,6.977963,6.055039,0.92292404
TEMOZOLOMIDE,ERLOTINIB,SKMES1,909728,11.3611098702,lung,11.36111,10.433185,0.9279251
PACLITAXEL,TEMOZOLOMIDE,SK-OV-3,905959,-7.4603480613,urogenital_system,-7.460348,-8.392238,0.93188953
ERLOTINIB,AZD1775,NCIH1650,687800,11.4775356674,lung,11.477535,10.541432,0.93610287
AZD1775,PACLITAXEL,SW837,909755,8.6975018813,digestive_system,8.697502,7.759782,0.9377203
ERLOTINIB,BORTEZOMIB,OV90,1240197,-10.5106881685,urogenital_system,-10.510688,-11.461662,0.95097446
SN-38,ERLOTINIB,NCIH1650,687800,4.9447607433,lung,4.944761,5.8965945,0.9518337
ERLOTINIB,DOXORUBICIN,OVCAR3,905933,-11.4060550688,urogenital_system,-11.406055,-12.368842,0.9627867
GEMCITABINE,MK-4827,VCAP,1299075,9.3274257033,urogenital_system,9.327426,8.363884,0.963542
SUNITINIB,MK-4827,OVCAR3,905933,13.5739984498,urogenital_system,13.573998,12.609186,0.9648123
PACLITAXEL,MK-8776,NCIH23,905942,-4.2528115457,lung,-4.2528114,-5.2246222,0.9718108
BORTEZOMIB,PACLITAXEL,SKMEL30,909726,-3.4291180541,skin,-3.4291182,-4.403608,0.9744897
DEXAMETHASONE,MK-4541,A375,906793,0.699744149,skin,0.69974416,1.682384,0.98263985
MK-4827,DOXORUBICIN,UWB1289,1480374,-0.2095963688,urogenital_system,-0.20959637,-1.2034125,0.99381614
SUNITINIB,MRK-003,A375,906793,14.3003583276,skin,14.300359,13.305574,0.99478436
MK-4827,LAPATINIB,T-47D,905945,-6.9637960753,breast,-6.963796,-5.9673133,0.99648285
SUNITINIB,ABT-888,A2058,906792,11.5575850657,skin,11.557585,12.557954,1.0003691
CARBOPLATIN,SUNITINIB,UACC62,905976,7.6673702588,skin,7.6673703,6.6658993,1.001471
AZD1775,ERLOTINIB,SK-OV-3,905959,16.1911336226,urogenital_system,16.191133,15.174974,1.016159
OXALIPLATIN,SUNITINIB,NCIH23,905942,-18.3491041716,lung,-18.349104,-17.33176,1.0173435
L778123,MK-4827,SKMEL30,909726,7.9324310584,skin,7.932431,6.9145517,1.0178795
MK-4827,METHOTREXATE,MDAMB436,1240172,-1.1879375272,breast,-1.1879375,-0.16988513,1.0180523
MK-4827,BEZ-235,OCUBM,909256,11.1442344437,breast,11.144235,12.163346,1.0191116
ERLOTINIB,DASATINIB,OV90,1240197,15.2012791859,urogenital_system,15.20128,16.2333,1.0320196
L778123,SUNITINIB,MSTO,908152,4.2866585665,lung,4.286659,5.3235207,1.0368619
ABT-888,VINORELBINE,RKO,909698,-1.336451327,digestive_system,-1.3364513,-2.3776186,1.0411673
SUNITINIB,L778123,VCAP,1299075,13.581039813,urogenital_system,13.581039,14.623369,1.0423298
DINACICLIB,MK-4827,SKMES1,909728,0.1269233947,lung,0.1269234,1.1771808,1.0502573
