Drug1,Drug2,Cell line,synergy_x,fold,Cosmic sample Id,synergy_y,set
5-FU,BEZ-235,ES2,2.4774290291,1,1240128.0,2.4774290291,train_dc
5-FU,BEZ-235,HCT116,2.7457843603,1,905936.0,2.7457843603,train_dc
5-FU,BEZ-235,HT144,2.3230897887,1,907067.0,2.3230897887,val_dc
5-FU,BEZ-235,HT144,2.3230897887,1,907067.0,2.3230897887,mix_val
5-FU,BEZ-235,HT29,11.8958027211,1,,,
5-FU,BEZ-235,KPL1,16.462849087,1,,,
5-FU,BEZ-235,LNCAP,55.291299337,1,907788.0,55.291299337,train_dc
5-FU,BEZ-235,LOVO,0.0497243445,1,907790.0,0.0497243445,val_dc
5-FU,BEZ-235,LOVO,0.0497243445,1,907790.0,0.0497243445,blind_cell_test
5-FU,BEZ-235,MDAMB436,18.9742923554,1,1240172.0,18.9742923554,val_dc
5-FU,BEZ-235,MDAMB436,18.9742923554,1,1240172.0,18.9742923554,blind_cell_test
5-FU,BEZ-235,MSTO,-8.3211162122,1,908152.0,-8.3211162122,train_dc
5-FU,BEZ-235,NCIH1650,17.6381552118,1,687800.0,17.6381552118,train_dc
5-FU,BEZ-235,NCIH2122,7.6972734841,1,722046.0,7.6972734841,train_dc
5-FU,BEZ-235,NCIH23,4.9902197108,1,905942.0,4.9902197108,val_dc
5-FU,BEZ-235,NCIH23,4.9902197108,1,905942.0,4.9902197108,blind_cell_val
5-FU,BEZ-235,NCI-H460,20.1004137353,1,905943.0,20.1004137353,test_dc
5-FU,BEZ-235,NCI-H460,20.1004137353,1,905943.0,20.1004137353,blind_cell_test
5-FU,BEZ-235,NCIH520,16.7217972261,1,908443.0,16.7217972261,val_dc
5-FU,BEZ-235,NCIH520,16.7217972261,1,908443.0,16.7217972261,mix_test
5-FU,BEZ-235,OCUBM,16.3880555937,1,909256.0,16.3880555937,val_dc
5-FU,BEZ-235,OCUBM,16.3880555937,1,909256.0,16.3880555937,blind_cell_val
5-FU,BEZ-235,OV90,17.5470785652,1,1240197.0,17.5470785652,train_dc
5-FU,BEZ-235,OVCAR3,17.1196123484,1,905933.0,17.1196123484,train_dc
5-FU,BEZ-235,PA1,21.5623867189,1,909255.0,21.5623867189,test_dc
5-FU,BEZ-235,PA1,21.5623867189,1,909255.0,21.5623867189,blind_cell_val
5-FU,BEZ-235,RKO,16.9360013477,1,909698.0,16.9360013477,train_dc
5-FU,BEZ-235,RPMI7951,12.7059498499,1,910903.0,12.7059498499,val_dc
5-FU,BEZ-235,RPMI7951,12.7059498499,1,910903.0,12.7059498499,mix_test
5-FU,BEZ-235,SKMEL30,-73.1384016545,1,909726.0,-73.1384016545,test_dc
5-FU,BEZ-235,SKMEL30,-73.1384016545,1,909726.0,-73.1384016545,mix_val
5-FU,BEZ-235,SKMES1,21.2679035017,1,909728.0,21.2679035017,train_dc
5-FU,BEZ-235,SK-OV-3,4.2458790789,1,905959.0,4.2458790789,train_dc
5-FU,BEZ-235,SW-620,12.0285902424,1,905962.0,12.0285902424,val_dc
5-FU,BEZ-235,SW-620,12.0285902424,1,905962.0,12.0285902424,blind_cell_val
5-FU,BEZ-235,SW837,5.5145107479,1,909755.0,5.5145107479,train_dc
5-FU,BEZ-235,T-47D,106.0071923778,1,905945.0,106.0071923778,test_dc
5-FU,BEZ-235,T-47D,106.0071923778,1,905945.0,106.0071923778,mix_test
5-FU,BEZ-235,UACC62,7.9318775251,1,905976.0,7.9318775251,val_dc
5-FU,BEZ-235,UACC62,7.9318775251,1,905976.0,7.9318775251,mix_val
5-FU,BEZ-235,UWB1289BRCA1,18.8650385873,1,,,
5-FU,BEZ-235,UWB1289,17.0637803344,1,1480374.0,17.0637803344,train_dc
5-FU,BEZ-235,VCAP,11.7574248227,1,1299075.0,11.7574248227,train_dc
5-FU,BEZ-235,ZR751,7.0759828056,1,,,
5-FU,BORTEZOMIB,A2058,-5.2398784479,2,906792.0,-5.2398784479,val_dc
5-FU,BORTEZOMIB,A2058,-5.2398784479,2,906792.0,-5.2398784479,blind_drug_val
5-FU,BORTEZOMIB,A2780,-18.599126219,2,906804.0,-18.599126219,val_dc
5-FU,BORTEZOMIB,A2780,-18.599126219,2,906804.0,-18.599126219,blind_drug_val
5-FU,BORTEZOMIB,A375,-2.4053347825,2,906793.0,-2.4053347825,val_dc
5-FU,BORTEZOMIB,A375,-2.4053347825,2,906793.0,-2.4053347825,blind_drug_val
5-FU,BORTEZOMIB,A427,-7.8767081501,2,910851.0,-7.8767081501,val_dc
5-FU,BORTEZOMIB,A427,-7.8767081501,2,910851.0,-7.8767081501,blind_drug_test
5-FU,BORTEZOMIB,CAOV3,-35.2730418424,2,,,
5-FU,BORTEZOMIB,COLO320DM,-10.9704461582,2,,,
5-FU,BORTEZOMIB,DLD1,5.2284767557,2,,,
5-FU,BORTEZOMIB,EFM192B,-8.3561110301,2,,,
5-FU,BORTEZOMIB,ES2,-16.1301253292,2,1240128.0,-16.1301253292,val_dc
5-FU,BORTEZOMIB,ES2,-16.1301253292,2,1240128.0,-16.1301253292,blind_drug_test
5-FU,BORTEZOMIB,HCT116,-4.5192694496,2,905936.0,-4.5192694496,test_dc
5-FU,BORTEZOMIB,HCT116,-4.5192694496,2,905936.0,-4.5192694496,blind_drug_val
5-FU,BORTEZOMIB,HT144,-14.5697825802,2,907067.0,-14.5697825802,val_dc
5-FU,BORTEZOMIB,HT144,-14.5697825802,2,907067.0,-14.5697825802,blind_drug_val
5-FU,BORTEZOMIB,HT29,-15.9516134706,2,,,
5-FU,BORTEZOMIB,KPL1,-2.9975327263,2,,,
5-FU,BORTEZOMIB,LNCAP,-1.8552324806,2,907788.0,-1.8552324806,test_dc
5-FU,BORTEZOMIB,LNCAP,-1.8552324806,2,907788.0,-1.8552324806,blind_drug_test
5-FU,BORTEZOMIB,LOVO,-6.1759820093,2,907790.0,-6.1759820093,test_dc
5-FU,BORTEZOMIB,LOVO,-6.1759820093,2,907790.0,-6.1759820093,blind_drug_test
5-FU,BORTEZOMIB,MDAMB436,-2.0255657606,2,1240172.0,-2.0255657606,val_dc
5-FU,BORTEZOMIB,MDAMB436,-2.0255657606,2,1240172.0,-2.0255657606,blind_drug_test
5-FU,BORTEZOMIB,MSTO,52.4851897233,2,908152.0,52.4851897233,val_dc
5-FU,BORTEZOMIB,MSTO,52.4851897233,2,908152.0,52.4851897233,blind_drug_val
5-FU,BORTEZOMIB,NCIH1650,-15.7787056902,2,687800.0,-15.7787056902,val_dc
5-FU,BORTEZOMIB,NCIH1650,-15.7787056902,2,687800.0,-15.7787056902,blind_drug_val
5-FU,BORTEZOMIB,NCIH2122,-16.6962656751,2,722046.0,-16.6962656751,test_dc
5-FU,BORTEZOMIB,NCIH2122,-16.6962656751,2,722046.0,-16.6962656751,blind_drug_test
5-FU,BORTEZOMIB,NCIH23,-9.1909645858,2,905942.0,-9.1909645858,val_dc
5-FU,BORTEZOMIB,NCIH23,-9.1909645858,2,905942.0,-9.1909645858,blind_drug_test
5-FU,BORTEZOMIB,NCI-H460,-18.9981302614,2,905943.0,-18.9981302614,test_dc
5-FU,BORTEZOMIB,NCI-H460,-18.9981302614,2,905943.0,-18.9981302614,blind_drug_test
5-FU,BORTEZOMIB,NCIH520,-24.0675509099,2,908443.0,-24.0675509099,val_dc
5-FU,BORTEZOMIB,NCIH520,-24.0675509099,2,908443.0,-24.0675509099,blind_drug_val
5-FU,BORTEZOMIB,OCUBM,-7.5086248389,2,909256.0,-7.5086248389,val_dc
5-FU,BORTEZOMIB,OCUBM,-7.5086248389,2,909256.0,-7.5086248389,blind_drug_val
5-FU,BORTEZOMIB,OV90,-9.5861668687,2,1240197.0,-9.5861668687,val_dc
5-FU,BORTEZOMIB,OV90,-9.5861668687,2,1240197.0,-9.5861668687,blind_drug_test
5-FU,BORTEZOMIB,OVCAR3,-9.8950364655,2,905933.0,-9.8950364655,test_dc
5-FU,BORTEZOMIB,OVCAR3,-9.8950364655,2,905933.0,-9.8950364655,blind_drug_val
5-FU,BORTEZOMIB,PA1,-20.7061680779,2,909255.0,-20.7061680779,val_dc
5-FU,BORTEZOMIB,PA1,-20.7061680779,2,909255.0,-20.7061680779,blind_drug_val
5-FU,BORTEZOMIB,RKO,2.9072006684,2,909698.0,2.9072006684,val_dc
5-FU,BORTEZOMIB,RKO,2.9072006684,2,909698.0,2.9072006684,blind_drug_test
5-FU,BORTEZOMIB,RPMI7951,-10.4794143941,2,910903.0,-10.4794143941,test_dc
5-FU,BORTEZOMIB,RPMI7951,-10.4794143941,2,910903.0,-10.4794143941,blind_drug_val
5-FU,BORTEZOMIB,SKMEL30,-172.8887020908,2,909726.0,-172.8887020908,test_dc
5-FU,BORTEZOMIB,SKMEL30,-172.8887020908,2,909726.0,-172.8887020908,blind_drug_val
5-FU,BORTEZOMIB,SKMES1,-11.6427298467,2,909728.0,-11.6427298467,test_dc
5-FU,BORTEZOMIB,SKMES1,-11.6427298467,2,909728.0,-11.6427298467,blind_drug_test
5-FU,BORTEZOMIB,SK-OV-3,-4.6048936233,2,905959.0,-4.6048936233,val_dc
5-FU,BORTEZOMIB,SK-OV-3,-4.6048936233,2,905959.0,-4.6048936233,blind_drug_val
5-FU,BORTEZOMIB,SW-620,-1.9079668183,2,905962.0,-1.9079668183,val_dc
5-FU,BORTEZOMIB,SW-620,-1.9079668183,2,905962.0,-1.9079668183,blind_drug_test
5-FU,BORTEZOMIB,SW837,-1.3618595002,2,909755.0,-1.3618595002,test_dc
5-FU,BORTEZOMIB,SW837,-1.3618595002,2,909755.0,-1.3618595002,blind_drug_test
5-FU,BORTEZOMIB,T-47D,2.7487911814,2,905945.0,2.7487911814,test_dc
5-FU,BORTEZOMIB,T-47D,2.7487911814,2,905945.0,2.7487911814,blind_drug_test
5-FU,BORTEZOMIB,UACC62,-17.8418510777,2,905976.0,-17.8418510777,test_dc
5-FU,BORTEZOMIB,UACC62,-17.8418510777,2,905976.0,-17.8418510777,blind_drug_val
5-FU,BORTEZOMIB,UWB1289BRCA1,-2.8197803553,2,,,
5-FU,BORTEZOMIB,UWB1289,-15.0307501791,2,1480374.0,-15.0307501791,val_dc
5-FU,BORTEZOMIB,UWB1289,-15.0307501791,2,1480374.0,-15.0307501791,blind_drug_val
5-FU,BORTEZOMIB,VCAP,-7.0535106309,2,1299075.0,-7.0535106309,val_dc
5-FU,BORTEZOMIB,VCAP,-7.0535106309,2,1299075.0,-7.0535106309,blind_drug_val
5-FU,BORTEZOMIB,ZR751,-17.4513752727,2,,,
5-FU,DASATINIB,A2058,31.1256441825,1,906792.0,31.1256441825,train_dc
5-FU,DASATINIB,A2780,50.6036602621,1,906804.0,50.6036602621,val_dc
5-FU,DASATINIB,A2780,50.6036602621,1,906804.0,50.6036602621,mix_val
5-FU,DASATINIB,A375,2.6836891586,1,906793.0,2.6836891586,val_dc
5-FU,DASATINIB,A375,2.6836891586,1,906793.0,2.6836891586,mix_test
5-FU,DASATINIB,A427,28.3480845129,1,910851.0,28.3480845129,train_dc
5-FU,DASATINIB,CAOV3,17.8798317329,1,,,
5-FU,DASATINIB,COLO320DM,6.4670310089,1,,,
5-FU,DASATINIB,DLD1,21.4330908809,1,,,
5-FU,DASATINIB,EFM192B,3.8423834056,1,,,
5-FU,DASATINIB,ES2,17.6901953531,1,1240128.0,17.6901953531,train_dc
5-FU,DASATINIB,HCT116,-7.8192717861,1,905936.0,-7.8192717861,train_dc
5-FU,DASATINIB,HT144,-22.9732781184,1,907067.0,-22.9732781184,train_dc
5-FU,DASATINIB,HT29,17.0669807634,1,,,
5-FU,DASATINIB,KPL1,3.4468119113,1,,,
5-FU,DASATINIB,LNCAP,0.2425073658,1,907788.0,0.2425073658,train_dc
5-FU,DASATINIB,LOVO,21.3855881893,1,907790.0,21.3855881893,test_dc
5-FU,DASATINIB,LOVO,21.3855881893,1,907790.0,21.3855881893,blind_cell_val
5-FU,DASATINIB,MDAMB436,18.7186968772,1,1240172.0,18.7186968772,test_dc
5-FU,DASATINIB,MDAMB436,18.7186968772,1,1240172.0,18.7186968772,blind_cell_val
5-FU,DASATINIB,MSTO,17.562990649,1,908152.0,17.562990649,train_dc
5-FU,DASATINIB,NCIH1650,23.2349707101,1,687800.0,23.2349707101,val_dc
5-FU,DASATINIB,NCIH1650,23.2349707101,1,687800.0,23.2349707101,mix_test
5-FU,DASATINIB,NCIH2122,-31.1947195955,1,722046.0,-31.1947195955,val_dc
5-FU,DASATINIB,NCIH2122,-31.1947195955,1,722046.0,-31.1947195955,mix_test
5-FU,DASATINIB,NCIH23,11.5591467519,1,905942.0,11.5591467519,test_dc
5-FU,DASATINIB,NCIH23,11.5591467519,1,905942.0,11.5591467519,blind_cell_val
5-FU,DASATINIB,NCI-H460,21.6687261012,1,905943.0,21.6687261012,test_dc
5-FU,DASATINIB,NCI-H460,21.6687261012,1,905943.0,21.6687261012,blind_cell_val
5-FU,DASATINIB,NCIH520,42.7350514418,1,908443.0,42.7350514418,test_dc
5-FU,DASATINIB,NCIH520,42.7350514418,1,908443.0,42.7350514418,mix_test
5-FU,DASATINIB,OCUBM,-6.0435035517,1,909256.0,-6.0435035517,val_dc
5-FU,DASATINIB,OCUBM,-6.0435035517,1,909256.0,-6.0435035517,blind_cell_val
5-FU,DASATINIB,OV90,0.4330347743,1,1240197.0,0.4330347743,test_dc
5-FU,DASATINIB,OV90,0.4330347743,1,1240197.0,0.4330347743,mix_test
5-FU,DASATINIB,OVCAR3,57.0331471062,1,905933.0,57.0331471062,val_dc
5-FU,DASATINIB,OVCAR3,57.0331471062,1,905933.0,57.0331471062,mix_test
5-FU,DASATINIB,PA1,33.9082835151,1,909255.0,33.9082835151,val_dc
5-FU,DASATINIB,PA1,33.9082835151,1,909255.0,33.9082835151,blind_cell_val
5-FU,DASATINIB,RKO,17.3116328276,1,909698.0,17.3116328276,train_dc
5-FU,DASATINIB,RPMI7951,19.0635510285,1,910903.0,19.0635510285,train_dc
5-FU,DASATINIB,SKMEL30,-4.6186948142,1,909726.0,-4.6186948142,train_dc
5-FU,DASATINIB,SKMES1,2.9818204918,1,909728.0,2.9818204918,train_dc
5-FU,DASATINIB,SK-OV-3,1.3046560675,1,905959.0,1.3046560675,train_dc
5-FU,DASATINIB,SW-620,30.4446308353,1,905962.0,30.4446308353,test_dc
5-FU,DASATINIB,SW-620,30.4446308353,1,905962.0,30.4446308353,blind_cell_test
5-FU,DASATINIB,SW837,15.8773368915,1,909755.0,15.8773368915,train_dc
5-FU,DASATINIB,T-47D,18.8656014132,1,905945.0,18.8656014132,train_dc
5-FU,DASATINIB,UACC62,12.1239603389,1,905976.0,12.1239603389,train_dc
5-FU,DASATINIB,UWB1289BRCA1,7.6733601203,1,,,
5-FU,DASATINIB,UWB1289,3.7658996853,1,1480374.0,3.7658996853,train_dc
5-FU,DASATINIB,VCAP,21.455726442,1,1299075.0,21.455726442,train_dc
5-FU,DASATINIB,ZR751,5.1142794332,1,,,
5-FU,DINACICLIB,A2058,4.3316952071,0,906792.0,4.3316952071,val_dc
5-FU,DINACICLIB,A2058,4.3316952071,0,906792.0,4.3316952071,blind_drug_test
5-FU,DINACICLIB,A2780,-8.1611286386,0,906804.0,-8.1611286386,val_dc
5-FU,DINACICLIB,A2780,-8.1611286386,0,906804.0,-8.1611286386,blind_drug_val
5-FU,DINACICLIB,A375,-5.4159342011,0,906793.0,-5.4159342011,test_dc
5-FU,DINACICLIB,A375,-5.4159342011,0,906793.0,-5.4159342011,blind_drug_val
5-FU,DINACICLIB,A427,-7.7474736816,0,910851.0,-7.7474736816,val_dc
5-FU,DINACICLIB,A427,-7.7474736816,0,910851.0,-7.7474736816,blind_drug_test
5-FU,DINACICLIB,CAOV3,-14.3474258909,0,,,
5-FU,DINACICLIB,COLO320DM,4.8075500511,0,,,
5-FU,DINACICLIB,DLD1,-3.6412672658,0,,,
5-FU,DINACICLIB,EFM192B,0.3121068316,0,,,
5-FU,DINACICLIB,ES2,3.4071845582,0,1240128.0,3.4071845582,val_dc
5-FU,DINACICLIB,ES2,3.4071845582,0,1240128.0,3.4071845582,blind_drug_test
5-FU,DINACICLIB,HCT116,2.9189014698,0,905936.0,2.9189014698,test_dc
5-FU,DINACICLIB,HCT116,2.9189014698,0,905936.0,2.9189014698,blind_drug_test
5-FU,DINACICLIB,HT144,-3.4774222173,0,907067.0,-3.4774222173,val_dc
5-FU,DINACICLIB,HT144,-3.4774222173,0,907067.0,-3.4774222173,blind_drug_val
5-FU,DINACICLIB,HT29,-2.5394087442,0,,,
5-FU,DINACICLIB,KPL1,0.007355464,0,,,
5-FU,DINACICLIB,LNCAP,-0.8480444662,0,907788.0,-0.8480444662,val_dc
5-FU,DINACICLIB,LNCAP,-0.8480444662,0,907788.0,-0.8480444662,blind_drug_val
5-FU,DINACICLIB,LOVO,-11.8769599262,0,907790.0,-11.8769599262,test_dc
5-FU,DINACICLIB,LOVO,-11.8769599262,0,907790.0,-11.8769599262,blind_drug_val
5-FU,DINACICLIB,MDAMB436,5.3475341198,0,1240172.0,5.3475341198,test_dc
5-FU,DINACICLIB,MDAMB436,5.3475341198,0,1240172.0,5.3475341198,blind_drug_val
5-FU,DINACICLIB,MSTO,1.1104282837,0,908152.0,1.1104282837,test_dc
5-FU,DINACICLIB,MSTO,1.1104282837,0,908152.0,1.1104282837,blind_drug_val
5-FU,DINACICLIB,NCIH1650,-2.1132235055,0,687800.0,-2.1132235055,val_dc
5-FU,DINACICLIB,NCIH1650,-2.1132235055,0,687800.0,-2.1132235055,blind_drug_test
5-FU,DINACICLIB,NCIH2122,1.2187131729,0,722046.0,1.2187131729,test_dc
5-FU,DINACICLIB,NCIH2122,1.2187131729,0,722046.0,1.2187131729,blind_drug_test
5-FU,DINACICLIB,NCIH23,-9.5337022995,0,905942.0,-9.5337022995,val_dc
5-FU,DINACICLIB,NCIH23,-9.5337022995,0,905942.0,-9.5337022995,blind_drug_test
5-FU,DINACICLIB,NCI-H460,-7.4209805584,0,905943.0,-7.4209805584,val_dc
5-FU,DINACICLIB,NCI-H460,-7.4209805584,0,905943.0,-7.4209805584,blind_drug_test
5-FU,DINACICLIB,NCIH520,-4.3210485458,0,908443.0,-4.3210485458,test_dc
5-FU,DINACICLIB,NCIH520,-4.3210485458,0,908443.0,-4.3210485458,blind_drug_test
5-FU,DINACICLIB,OCUBM,6.7850540323,0,909256.0,6.7850540323,test_dc
5-FU,DINACICLIB,OCUBM,6.7850540323,0,909256.0,6.7850540323,blind_drug_test
5-FU,DINACICLIB,OV90,-5.9355790617,0,1240197.0,-5.9355790617,val_dc
5-FU,DINACICLIB,OV90,-5.9355790617,0,1240197.0,-5.9355790617,blind_drug_test
5-FU,DINACICLIB,OVCAR3,2.7064693261,0,905933.0,2.7064693261,test_dc
