Drug1,Drug2,Cell line,Cosmic sample Id,synergy,Tissue,log_synergy,predict,abs_error
MITOMYCINE,SUNITINIB,NCIH23,905942,-11.7305379838,lung,-11.730538,-11.80442,0.0738821
MK-2206,ABT-888,MDAMB436,1240172,8.2262925944,breast,8.226293,8.301023,0.07472992
L778123,VINBLASTINE,UACC62,905976,21.2529440759,skin,21.252945,21.330029,0.07708359
PD325901,OXALIPLATIN,OVCAR3,905933,1.4326557082,urogenital_system,1.4326557,1.5105428,0.07788706
ABT-888,MK-4541,A375,906793,-2.9319198711,skin,-2.9319198,-2.8501093,0.081810474
CARBOPLATIN,ZOLINZA,MDAMB436,1240172,3.4661930775,breast,3.466193,3.5523791,0.08618617
GEMCITABINE,L778123,OCUBM,909256,4.3257123236,breast,4.325712,4.411999,0.08628702
MK-8669,GEMCITABINE,SKMES1,909728,-19.3526648683,lung,-19.352665,-19.440231,0.087566376
MK-8669,TOPOTECAN,SW837,909755,6.9735207086,digestive_system,6.9735208,6.882473,0.091047764
MK-2206,GEMCITABINE,SW837,909755,30.6906719573,digestive_system,30.690672,30.596676,0.09399605
BORTEZOMIB,ABT-888,NCIH1650,687800,-11.3355353866,lung,-11.335535,-11.429602,0.09406662
DEXAMETHASONE,AZD1775,SKMEL30,909726,11.0391535987,skin,11.039154,11.134485,0.09533119
ZOLINZA,VINBLASTINE,LNCAP,907788,10.418092888,urogenital_system,10.418093,10.518964,0.100871086
PACLITAXEL,MRK-003,NCIH1650,687800,14.1222062011,lung,14.122206,14.020809,0.10139656
LAPATINIB,OXALIPLATIN,SW837,909755,-2.7160629001,digestive_system,-2.7160628,-2.6106606,0.10540223
ABT-888,BORTEZOMIB,A2058,906792,7.2379476899,skin,7.2379475,7.1303906,0.10755682
MK-4541,CYCLOPHOSPHAMIDE,NCIH23,905942,-1.1954984738,lung,-1.1954985,-1.0871273,0.10837114
ETOPOSIDE,MRK-003,NCIH1650,687800,13.3472370123,lung,13.347237,13.458994,0.11175728
AZD1775,ERLOTINIB,LNCAP,907788,1.0942989633,urogenital_system,1.094299,0.97752917,0.11676979
MK-5108,CARBOPLATIN,RPMI7951,910903,-6.5091244446,skin,-6.5091243,-6.391105,0.118019104
ERLOTINIB,SUNITINIB,RPMI7951,910903,2.3654943963,skin,2.3654945,2.4862864,0.12079191
MK-5108,5-FU,NCIH23,905942,-2.7746186765,lung,-2.7746186,-2.895841,0.12122226
METFORMIN,BORTEZOMIB,MDAMB436,1240172,-4.6415256825,breast,-4.6415257,-4.519345,0.12218094
SORAFENIB,GELDANAMYCIN,NCIH520,908443,4.2815108476,lung,4.281511,4.1574545,0.12405634
GELDANAMYCIN,SORAFENIB,VCAP,1299075,-13.3365105206,urogenital_system,-13.336511,-13.460729,0.12421799
CARBOPLATIN,L778123,NCIH520,908443,-2.7734545516,lung,-2.7734547,-2.646152,0.12730265
DINACICLIB,TEMOZOLOMIDE,A375,906793,-4.0301246736,skin,-4.0301247,-3.901894,0.12823057
SUNITINIB,DOXORUBICIN,A2058,906792,-3.1660455861,skin,-3.1660457,-3.295698,0.12965226
DEXAMETHASONE,MK-4827,NCIH520,908443,5.930965837,lung,5.930966,5.7983108,0.13265514
GEMCITABINE,DASATINIB,A2058,906792,9.7533108463,skin,9.753311,9.887039,0.13372803
BEZ-235,MK-5108,RPMI7951,910903,8.840807468,skin,8.840808,8.974614,0.13380623
DINACICLIB,MK-4827,HCT116,905936,-8.4715509697,digestive_system,-8.471551,-8.605588,0.13403702
MK-4827,DINACICLIB,MDAMB436,1240172,2.3345197631,breast,2.3345199,2.4724164,0.13789654
MK-4541,ETOPOSIDE,NCIH1650,687800,1.1210602891,lung,1.1210603,1.2599844,0.13892412
BORTEZOMIB,GEMCITABINE,UWB1289,1480374,-10.4133229356,urogenital_system,-10.413323,-10.557413,0.1440897
VINORELBINE,MK-4541,LOVO,907790,-0.1885593852,digestive_system,-0.18855938,-0.042709827,0.14584956
MK-5108,MK-2206,LOVO,907790,16.5020831345,digestive_system,16.502083,16.651535,0.14945221
TEMOZOLOMIDE,PACLITAXEL,MSTO,908152,-2.0215073999,lung,-2.0215075,-1.8716164,0.14989114
BEZ-235,METFORMIN,HT144,907067,13.9856760398,skin,13.985676,13.834814,0.15086174
GEMCITABINE,BORTEZOMIB,UWB1289,1480374,-10.4133229356,urogenital_system,-10.413323,-10.262271,0.15105247
GEMCITABINE,SORAFENIB,NCIH23,905942,-13.3261752888,lung,-13.326176,-13.171811,0.15436459
TEMOZOLOMIDE,MRK-003,NCIH2122,722046,-6.5481055139,lung,-6.5481057,-6.3935747,0.154531
SORAFENIB,DOXORUBICIN,MSTO,908152,-9.5138060595,lung,-9.513806,-9.668426,0.15461922
DINACICLIB,PACLITAXEL,OCUBM,909256,-7.7680514578,breast,-7.7680516,-7.6074147,0.1606369
GELDANAMYCIN,5-FU,SW837,909755,-10.0141809923,digestive_system,-10.014181,-10.17662,0.1624384
MK-5108,TOPOTECAN,NCIH2122,722046,-12.8758393999,lung,-12.875839,-12.7054615,0.17037773
DASATINIB,DINACICLIB,NCIH1650,687800,24.0000269109,lung,24.000027,24.17175,0.17172241
SORAFENIB,MK-5108,HCT116,905936,12.3959795235,digestive_system,12.39598,12.223077,0.17290306
AZD1775,SORAFENIB,RKO,909698,-1.1666525432,digestive_system,-1.1666526,-1.3400975,0.17344499
SORAFENIB,DEXAMETHASONE,OCUBM,909256,5.8699263746,breast,5.8699265,6.0460844,0.17615795
MK-2206,MITOMYCINE,NCIH1650,687800,12.3288085451,lung,12.328809,12.149707,0.17910194
TEMOZOLOMIDE,SUNITINIB,RKO,909698,5.9122059996,digestive_system,5.912206,6.0934067,0.1812005
MK-4541,AZD1775,NCIH2122,722046,-0.3903367009,lung,-0.3903367,-0.20570242,0.18463427
VINBLASTINE,MK-4827,SW837,909755,-21.7180076394,digestive_system,-21.718008,-21.529633,0.18837547
MK-4541,METHOTREXATE,MDAMB436,1240172,-3.9793472836,breast,-3.9793472,-4.170812,0.1914649
SUNITINIB,MK-4827,A375,906793,6.1202655783,skin,6.1202655,6.312213,0.19194746
CYCLOPHOSPHAMIDE,MK-2206,A2058,906792,10.1727056614,skin,10.172706,9.977835,0.19487095
L778123,METHOTREXATE,HT144,907067,-3.105971225,skin,-3.1059713,-2.910815,0.19515634
MK-4541,L778123,A375,906793,8.2223684816,skin,8.222368,8.423618,0.20125008
VINORELBINE,MK-5108,HCT116,905936,-10.2746479507,digestive_system,-10.274648,-10.068714,0.20593357
CYCLOPHOSPHAMIDE,BEZ-235,MDAMB436,1240172,19.4657928346,breast,19.465794,19.67258,0.20678711
METFORMIN,GELDANAMYCIN,MDAMB436,1240172,1.7188938609,breast,1.7188939,1.512013,0.20688093
GEMCITABINE,BEZ-235,SK-OV-3,905959,3.4713939593,urogenital_system,3.471394,3.2615771,0.20981693
TEMOZOLOMIDE,MRK-003,UWB1289,1480374,-3.4012276831,urogenital_system,-3.4012277,-3.1880944,0.21313334
MK-8776,ZOLINZA,SW837,909755,-2.8660080878,digestive_system,-2.866008,-3.0810885,0.2150805
DEXAMETHASONE,GELDANAMYCIN,A2058,906792,-0.4018303213,skin,-0.40183032,-0.18459746,0.21723285
TEMOZOLOMIDE,MK-8669,VCAP,1299075,5.5573109178,urogenital_system,5.557311,5.774575,0.21726418
MK-8776,AZD1775,LNCAP,907788,17.57989115,urogenital_system,17.579891,17.798027,0.21813583
MRK-003,GELDANAMYCIN,VCAP,1299075,1.7841606164,urogenital_system,1.7841606,2.0062373,0.22207665
ABT-888,TOPOTECAN,RPMI7951,910903,-2.173326235,skin,-2.1733263,-1.9472072,0.22611904
SN-38,DINACICLIB,HT144,907067,-10.904448349,skin,-10.9044485,-11.13233,0.22788143
L778123,METHOTREXATE,NCIH520,908443,-4.503716123,lung,-4.503716,-4.2755203,0.22819567
MK-2206,GEMCITABINE,MDAMB436,1240172,16.4614464915,breast,16.461447,16.230968,0.23047829
SN-38,DINACICLIB,NCIH1650,687800,-4.286396551,lung,-4.2863965,-4.518321,0.23192453
MRK-003,ETOPOSIDE,RPMI7951,910903,13.7454196778,skin,13.7454195,13.512607,0.23281288
MK-5108,DOXORUBICIN,OCUBM,909256,-2.2316850774,breast,-2.2316852,-1.9951277,0.23655748
ZOLINZA,MK-8776,RPMI7951,910903,1.8168101563,skin,1.8168101,1.5796162,0.23719394
SUNITINIB,PD325901,HT144,907067,5.88203857,skin,5.8820386,5.639845,0.2421937
MK-4827,METHOTREXATE,MDAMB436,1240172,-1.1879375272,breast,-1.1879375,-1.4318725,0.24393499
METFORMIN,LAPATINIB,RKO,909698,-3.25865034,digestive_system,-3.2586503,-3.5031147,0.2444644
OXALIPLATIN,MK-2206,HT144,907067,-12.2398210958,skin,-12.239821,-12.486681,0.24685955
ABT-888,ERLOTINIB,HT144,907067,-5.994644575,skin,-5.9946446,-6.2442145,0.2495699
ZOLINZA,METFORMIN,HCT116,905936,0.0779920963,digestive_system,0.0779921,-0.17208599,0.25007808
VINORELBINE,BEZ-235,HT144,907067,39.3234412043,skin,39.32344,39.574444,0.25100327
ZOLINZA,TOPOTECAN,RPMI7951,910903,3.3445710495,skin,3.344571,3.5969183,0.25234723
MRK-003,SORAFENIB,UWB1289,1480374,7.4585775975,urogenital_system,7.4585776,7.7115827,0.25300503
METHOTREXATE,MK-4541,OCUBM,909256,4.7642499958,breast,4.76425,4.510258,0.2539916
DINACICLIB,MK-5108,NCIH1650,687800,-0.6469898377,lung,-0.6469898,-0.90100324,0.25401342
MK-4541,DEXAMETHASONE,MSTO,908152,-10.8626314224,lung,-10.862632,-11.118947,0.25631523
ABT-888,ETOPOSIDE,NCIH520,908443,4.3150672207,lung,4.3150673,4.0501404,0.2649269
TEMOZOLOMIDE,MK-2206,SK-OV-3,905959,1.2775813241,urogenital_system,1.2775813,1.012446,0.2651353
MRK-003,BORTEZOMIB,HCT116,905936,-1.9958794154,digestive_system,-1.9958794,-1.7294264,0.26645303
SUNITINIB,SN-38,OV90,1240197,-6.5576061752,urogenital_system,-6.557606,-6.29097,0.26663637
VINORELBINE,MK-4827,NCIH1650,687800,-5.2707469472,lung,-5.270747,-5.5386257,0.26787853
MRK-003,ERLOTINIB,UACC62,905976,18.2832436286,skin,18.283243,18.551907,0.2686634
OXALIPLATIN,PD325901,OVCAR3,905933,1.4326557082,urogenital_system,1.4326557,1.7020935,0.2694378
MK-4827,DEXAMETHASONE,NCIH23,905942,2.2347348496,lung,2.2347348,2.505859,0.27112412
L778123,BEZ-235,OV90,1240197,31.1769722023,urogenital_system,31.176971,31.448906,0.2719345
DOXORUBICIN,SORAFENIB,MSTO,908152,-9.5138060595,lung,-9.513806,-9.241077,0.27272892
ZOLINZA,METFORMIN,HT144,907067,-2.7067351104,skin,-2.7067351,-2.4313996,0.27533555
PD325901,CARBOPLATIN,NCIH520,908443,-5.35572884,lung,-5.3557286,-5.6316347,0.2759061
ERLOTINIB,VINBLASTINE,NCIH2122,722046,39.339756163,lung,39.339756,39.619675,0.27991867
CARBOPLATIN,SORAFENIB,MSTO,908152,-9.9884179278,lung,-9.988418,-10.269416,0.28099823
SORAFENIB,MK-4827,NCIH23,905942,0.4358429335,lung,0.43584293,0.7171046,0.28126168
SN-38,ERLOTINIB,NCIH1650,687800,4.9447607433,lung,4.944761,5.22645,0.28168917
MK-2206,MK-5108,LOVO,907790,16.5020831345,digestive_system,16.502083,16.212864,0.2892189
METHOTREXATE,DASATINIB,OV90,1240197,-1.6067629104,urogenital_system,-1.6067629,-1.3174931,0.2892698
METFORMIN,MK-8669,UACC62,905976,0.4537822849,skin,0.4537823,0.1637353,0.290047
MITOMYCINE,SUNITINIB,OCUBM,909256,1.9502374365,breast,1.9502374,1.6587402,0.29149723
MK-2206,CYCLOPHOSPHAMIDE,OVCAR3,905933,5.415567499,urogenital_system,5.4155674,5.7074924,0.29192495
DEXAMETHASONE,ABT-888,MDAMB436,1240172,0.7199036137,breast,0.7199036,1.0127263,0.29282272
DINACICLIB,OXALIPLATIN,HT144,907067,-6.1884994229,skin,-6.1884995,-6.4832754,0.29477596
MK-2206,MK-5108,UACC62,905976,14.8507331915,skin,14.850733,15.149347,0.2986145
DINACICLIB,L778123,A2058,906792,12.7424839147,skin,12.742484,12.44287,0.29961395
MRK-003,SUNITINIB,OCUBM,909256,7.6897093264,breast,7.689709,7.3893924,0.3003168
CARBOPLATIN,DASATINIB,RPMI7951,910903,8.7436587763,skin,8.743659,8.440468,0.30319118
SUNITINIB,LAPATINIB,OV90,1240197,1.9711810047,urogenital_system,1.971181,2.277849,0.30666792
GEMCITABINE,PD325901,NCIH520,908443,8.9987562957,lung,8.998756,8.690648,0.30810833
LAPATINIB,METHOTREXATE,SKMES1,909728,-2.4221428932,lung,-2.422143,-2.7307658,0.30862284
BEZ-235,OXALIPLATIN,SKMEL30,909726,20.9179716414,skin,20.917973,20.608097,0.3098755
MRK-003,ETOPOSIDE,OVCAR3,905933,9.8845896802,urogenital_system,9.88459,9.574672,0.3099184
ZOLINZA,MK-4541,A375,906793,-0.726728037,skin,-0.726728,-0.4126581,0.31406993
BEZ-235,DASATINIB,SKMEL30,909726,34.1108394391,skin,34.11084,33.79649,0.31435013
MRK-003,PACLITAXEL,NCIH1650,687800,14.1222062011,lung,14.122206,13.80691,0.31529617
L778123,5-FU,RKO,909698,4.7786590771,digestive_system,4.778659,4.462637,0.31602192
ERLOTINIB,PACLITAXEL,NCIH2122,722046,-7.3347503871,lung,-7.33475,-7.651098,0.3163476
L778123,PACLITAXEL,SW837,909755,0.9481719086,digestive_system,0.9481719,1.2646261,0.31645423
LAPATINIB,ERLOTINIB,OV90,1240197,-12.9989361489,urogenital_system,-12.998936,-12.6794815,0.3194542
ETOPOSIDE,PD325901,VCAP,1299075,14.5451853124,urogenital_system,14.545185,14.865123,0.3199377
MK-2206,TEMOZOLOMIDE,SK-OV-3,905959,1.2775813241,urogenital_system,1.2775813,0.9561583,0.32142305
MK-8776,5-FU,RPMI7951,910903,4.9236207844,skin,4.9236207,4.5979695,0.32565117
BORTEZOMIB,ZOLINZA,LOVO,907790,-0.4728110291,digestive_system,-0.47281104,-0.14662299,0.32618806
L778123,MK-8776,MDAMB436,1240172,9.4420301178,breast,9.44203,9.112983,0.3290472
MITOMYCINE,ERLOTINIB,VCAP,1299075,-12.4709169807,urogenital_system,-12.470917,-12.801143,0.33022594
LAPATINIB,PD325901,VCAP,1299075,6.1994793899,urogenital_system,6.1994796,6.530647,0.33116722
GEMCITABINE,MK-4541,A2058,906792,2.1154547064,skin,2.1154547,1.7841913,0.33126342
VINORELBINE,MK-8776,UWB1289,1480374,-11.9347436127,urogenital_system,-11.934744,-11.602956,0.33178806
MRK-003,OXALIPLATIN,SKMEL30,909726,-9.8038366605,skin,-9.803837,-9.468207,0.33562946
CYCLOPHOSPHAMIDE,L778123,HT144,907067,-0.3651390749,skin,-0.36513907,-0.7009652,0.33582616
DASATINIB,TEMOZOLOMIDE,SKMEL30,909726,-19.6480265385,skin,-19.648027,-19.3102,0.33782768
ABT-888,MITOMYCINE,A2058,906792,5.7542012538,skin,5.7542014,6.092058,0.33785677
TOPOTECAN,L778123,UACC62,905976,6.7369374124,skin,6.7369375,7.0750494,0.33811188
METFORMIN,DASATINIB,RPMI7951,910903,5.2683341766,skin,5.2683344,5.6072116,0.3388772
DINACICLIB,ABT-888,RKO,909698,7.5137796841,digestive_system,7.5137796,7.173517,0.3402624
MK-4827,MITOMYCINE,NCIH520,908443,4.484228408,lung,4.4842286,4.8262644,0.34203577
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH23,905942,-2.3698333654,lung,-2.3698335,-2.0229974,0.3468361
DOXORUBICIN,DINACICLIB,SW837,909755,-10.2037445363,digestive_system,-10.203745,-9.853701,0.35004425
BORTEZOMIB,LAPATINIB,NCIH1650,687800,-8.6918379358,lung,-8.691838,-8.33636,0.3554783
DASATINIB,BEZ-235,SKMEL30,909726,34.1108394391,skin,34.11084,33.752415,0.35842514
MK-2206,AZD1775,MSTO,908152,16.5710383681,lung,16.57104,16.93272,0.36168098
SORAFENIB,L778123,HT144,907067,5.1808092956,skin,5.1808095,4.8170667,0.36374283
DASATINIB,DOXORUBICIN,UACC62,905976,13.106506579,skin,13.106506,12.737318,0.3691883
SORAFENIB,MRK-003,UWB1289,1480374,7.4585775975,urogenital_system,7.4585776,7.0888133,0.36976433
DINACICLIB,MK-8669,LOVO,907790,-0.1193821647,digestive_system,-0.119382165,0.25174102,0.3711232
BEZ-235,MK-5108,A2058,906792,10.9771609247,skin,10.97716,10.602169,0.37499142
LAPATINIB,CYCLOPHOSPHAMIDE,NCIH23,905942,-2.3698333654,lung,-2.3698335,-2.7472868,0.37745333
ERLOTINIB,SUNITINIB,LOVO,907790,16.8056764286,digestive_system,16.805676,17.183456,0.3777809
MK-8776,CARBOPLATIN,SW837,909755,-9.3820412009,digestive_system,-9.382041,-9.765599,0.38355827
CYCLOPHOSPHAMIDE,LAPATINIB,T-47D,905945,-5.9804422418,breast,-5.980442,-6.365395,0.38495302
GELDANAMYCIN,CARBOPLATIN,A375,906793,8.8815365149,skin,8.8815365,9.268534,0.38699722
OXALIPLATIN,PD325901,A2058,906792,4.638170083,skin,4.6381702,5.0275297,0.38935947
GEMCITABINE,ABT-888,HT144,907067,-1.4612399049,skin,-1.4612399,-1.0670197,0.39422023
SN-38,SORAFENIB,UACC62,905976,1.2497411038,skin,1.2497411,0.85523605,0.39450502
DINACICLIB,DEXAMETHASONE,OV90,1240197,-10.1530329853,urogenital_system,-10.153033,-9.757792,0.39524078
ERLOTINIB,TOPOTECAN,SK-OV-3,905959,15.866887425,urogenital_system,15.866887,16.26495,0.3980627
ERLOTINIB,AZD1775,OV90,1240197,-3.7588275894,urogenital_system,-3.7588277,-4.158566,0.3997383
DOXORUBICIN,MK-2206,OV90,1240197,3.7818636008,urogenital_system,3.7818637,3.3805263,0.4013374
CARBOPLATIN,LAPATINIB,NCIH23,905942,-6.743798977,lung,-6.743799,-6.339507,0.4042921
MK-2206,CYCLOPHOSPHAMIDE,HCT116,905936,10.4064745473,digestive_system,10.406474,10.001997,0.40447712
L778123,DINACICLIB,A2058,906792,12.7424839147,skin,12.742484,12.336106,0.4063778
L778123,CYCLOPHOSPHAMIDE,HT144,907067,-0.3651390749,skin,-0.36513907,0.041978583,0.40711766
TOPOTECAN,MK-8776,OV90,1240197,-7.2270872976,urogenital_system,-7.2270875,-6.818983,0.40810442
TEMOZOLOMIDE,5-FU,RKO,909698,-9.3234303757,digestive_system,-9.32343,-9.73363,0.41020012
SUNITINIB,MITOMYCINE,OCUBM,909256,1.9502374365,breast,1.9502374,2.3623152,0.41207778
5-FU,BEZ-235,NCIH23,905942,4.9902197108,lung,4.9902196,5.4045854,0.41436577
SORAFENIB,GELDANAMYCIN,SW837,909755,-5.2536245699,digestive_system,-5.2536244,-5.668084,0.4144597
SUNITINIB,PD325901,UWB1289,1480374,18.6690102298,urogenital_system,18.66901,19.083832,0.41482162
BEZ-235,MRK-003,NCIH2122,722046,25.7838340928,lung,25.783834,25.368362,0.41547203
CYCLOPHOSPHAMIDE,SUNITINIB,NCIH23,905942,2.5882257792,lung,2.5882258,2.1720388,0.41618705
LAPATINIB,CARBOPLATIN,NCIH23,905942,-6.743798977,lung,-6.743799,-6.325847,0.41795206
METFORMIN,SUNITINIB,MDAMB436,1240172,4.4176380222,breast,4.417638,4.8356752,0.4180374
5-FU,MK-4541,HT144,907067,-7.5270431349,skin,-7.5270433,-7.1019144,0.42512894
TEMOZOLOMIDE,MITOMYCINE,HT144,907067,-11.4608470151,skin,-11.460847,-11.033943,0.42690372
SN-38,GELDANAMYCIN,UWB1289,1480374,4.9712826435,urogenital_system,4.9712825,4.5419645,0.42931795
TEMOZOLOMIDE,CARBOPLATIN,OCUBM,909256,-10.9671358965,breast,-10.967135,-10.53734,0.42979527
MK-4541,ABT-888,A375,906793,-2.9319198711,skin,-2.9319198,-3.3628237,0.4309039
L778123,METFORMIN,LOVO,907790,2.3514260377,digestive_system,2.3514261,2.7826831,0.431257
DOXORUBICIN,ABT-888,OVCAR3,905933,-2.3348739828,urogenital_system,-2.334874,-1.9035304,0.43134356
ETOPOSIDE,DINACICLIB,LNCAP,907788,16.9929868687,urogenital_system,16.992987,17.424732,0.43174553
MK-5108,GEMCITABINE,MDAMB436,1240172,7.6099685133,breast,7.6099687,8.046867,0.4368987
MK-5108,MK-2206,UACC62,905976,14.8507331915,skin,14.850733,14.413783,0.43694973
DINACICLIB,MK-4827,MDAMB436,1240172,2.3345197631,breast,2.3345199,1.8970326,0.43748724
ZOLINZA,SN-38,UWB1289,1480374,10.6814198146,urogenital_system,10.681419,10.239677,0.44174194
GELDANAMYCIN,MRK-003,SK-OV-3,905959,-1.5754952544,urogenital_system,-1.5754952,-1.1292977,0.4461975
MK-4541,DEXAMETHASONE,RKO,909698,7.2371003705,digestive_system,7.2371006,7.683804,0.44670343
BEZ-235,DINACICLIB,OV90,1240197,10.2055271182,urogenital_system,10.205527,9.752894,0.4526329
LAPATINIB,AZD1775,RKO,909698,1.5089875002,digestive_system,1.5089875,1.961755,0.4527675
GEMCITABINE,MK-5108,MDAMB436,1240172,7.6099685133,breast,7.6099687,8.064632,0.45466375
GELDANAMYCIN,MK-5108,SK-OV-3,905959,3.4451507573,urogenital_system,3.4451509,2.9854496,0.4597013
CYCLOPHOSPHAMIDE,MK-8669,OVCAR3,905933,9.5788633228,urogenital_system,9.578863,10.038872,0.46000862
SORAFENIB,TOPOTECAN,A2058,906792,-1.5648727828,skin,-1.5648727,-2.026388,0.4615152
MK-4827,SORAFENIB,NCIH23,905942,0.4358429335,lung,0.43584293,0.9014334,0.46559048
GELDANAMYCIN,SORAFENIB,NCIH520,908443,4.2815108476,lung,4.281511,3.804498,0.47701287
MRK-003,METHOTREXATE,OV90,1240197,5.2299529596,urogenital_system,5.229953,4.75198,0.47797298
L778123,MK-4541,MDAMB436,1240172,6.4298517314,breast,6.4298515,5.9512615,0.47859
DEXAMETHASONE,DASATINIB,SKMEL30,909726,-15.5409231049,skin,-15.540923,-15.059821,0.481102
L778123,OXALIPLATIN,MSTO,908152,2.8429931592,lung,2.8429933,3.3248503,0.48185706
MK-4827,ERLOTINIB,NCIH2122,722046,20.4012692523,lung,20.40127,19.917877,0.48339272
METHOTREXATE,AZD1775,RKO,909698,-16.788352891,digestive_system,-16.788353,-17.272442,0.4840889
SUNITINIB,MRK-003,OCUBM,909256,7.6897093264,breast,7.689709,7.2036276,0.4860816
METHOTREXATE,MK-4541,MDAMB436,1240172,-3.9793472836,breast,-3.9793472,-3.487633,0.49171424
L778123,MK-4541,SKMES1,909728,9.7814212227,lung,9.781422,9.289693,0.49172878
GELDANAMYCIN,DEXAMETHASONE,OCUBM,909256,17.6550796368,breast,17.655079,17.162468,0.49261093
METHOTREXATE,SORAFENIB,UACC62,905976,-6.0951960558,skin,-6.0951962,-5.5981846,0.49701166
TOPOTECAN,SUNITINIB,RPMI7951,910903,-6.2367024661,skin,-6.2367024,-5.736677,0.5000253
METFORMIN,SUNITINIB,SKMEL30,909726,3.5887760785,skin,3.588776,4.0925307,0.5037546
L778123,GEMCITABINE,UWB1289,1480374,-2.9401795363,urogenital_system,-2.9401796,-2.4343855,0.50579405
BORTEZOMIB,ABT-888,A2058,906792,7.2379476899,skin,7.2379475,7.7439194,0.5059719
GELDANAMYCIN,MK-4541,MSTO,908152,-2.5345069305,lung,-2.534507,-3.0418239,0.5073168
AZD1775,METHOTREXATE,RKO,909698,-16.788352891,digestive_system,-16.788353,-17.295788,0.50743484
METFORMIN,SORAFENIB,VCAP,1299075,7.4470224597,urogenital_system,7.4470224,7.957935,0.5109124
ZOLINZA,SUNITINIB,LOVO,907790,1.1177490474,digestive_system,1.1177491,0.60649383,0.51125526
ERLOTINIB,DINACICLIB,RPMI7951,910903,8.344256306,skin,8.344256,7.8313193,0.51293707
LAPATINIB,BORTEZOMIB,NCIH1650,687800,-8.6918379358,lung,-8.691838,-8.178604,0.51323414
CARBOPLATIN,BEZ-235,SW837,909755,27.2121750949,digestive_system,27.212175,26.696602,0.5155735
SN-38,DINACICLIB,SKMES1,909728,0.163336596,lung,0.16333659,0.6798068,0.51647025
ABT-888,SUNITINIB,SK-OV-3,905959,10.4513518318,urogenital_system,10.451352,9.932501,0.5188513
