Drug1,Drug2,Cell line,Cosmic sample Id,synergy,Tissue,log_synergy,predict,abs_error
MITOMYCINE,MK-4827,NCIH1650,687800,-0.1789956997,lung,-0.1789957,-0.39407942,0.21508372
LAPATINIB,VINBLASTINE,NCIH1650,687800,-7.8940811366,lung,-7.894081,-8.117447,0.22336578
L778123,MRK-003,SKMES1,909728,4.5508283455,lung,4.5508285,4.3201647,0.23066378
OXALIPLATIN,BEZ-235,MDAMB436,1240172,21.4901797843,breast,21.49018,21.257639,0.23254013
SUNITINIB,5-FU,NCIH1650,687800,4.374037921,lung,4.3740377,4.6075263,0.23348856
MK-8776,L778123,MDAMB436,1240172,9.4420301178,breast,9.44203,9.205698,0.23633194
MK-4827,DEXAMETHASONE,MDAMB436,1240172,-0.6768936549,breast,-0.67689365,-0.9214754,0.24458176
OXALIPLATIN,MK-2206,NCIH1650,687800,-14.1423525602,lung,-14.142352,-13.897287,0.24506474
ABT-888,MRK-003,SKMES1,909728,1.9787136668,lung,1.9787136,2.226,0.24728644
DOXORUBICIN,BORTEZOMIB,SKMES1,909728,-19.8091281438,lung,-19.809128,-19.559715,0.24941254
SN-38,MK-5108,RKO,909698,-0.5334773796,digestive_system,-0.53347737,-0.78515506,0.2516777
VINBLASTINE,AZD1775,MDAMB436,1240172,0.1178890194,breast,0.11788902,-0.13710865,0.25499767
ABT-888,ERLOTINIB,NCIH1650,687800,-7.1170124717,lung,-7.1170125,-6.8534284,0.26358414
MITOMYCINE,MK-4827,RPMI7951,910903,4.8160342801,skin,4.8160343,5.0813336,0.26529932
BEZ-235,METFORMIN,SKMEL30,909726,24.1983194766,skin,24.19832,23.932482,0.26583862
SUNITINIB,TOPOTECAN,RPMI7951,910903,-6.2367024661,skin,-6.2367024,-5.964967,0.27173567
AZD1775,SORAFENIB,LNCAP,907788,-2.6355515867,urogenital_system,-2.6355517,-2.3613448,0.27420688
ZOLINZA,ERLOTINIB,OVCAR3,905933,9.6319508844,urogenital_system,9.631951,9.356818,0.27513313
CARBOPLATIN,SUNITINIB,RKO,909698,4.1548256685,digestive_system,4.1548257,3.8760219,0.27880383
BEZ-235,DINACICLIB,OVCAR3,905933,12.3664407686,urogenital_system,12.366441,12.080263,0.28617764
BEZ-235,METHOTREXATE,SKMEL30,909726,-3.8804496146,skin,-3.8804495,-3.5870292,0.2934203
LAPATINIB,AZD1775,SKMEL30,909726,7.602509732,skin,7.6025095,7.305817,0.29669237
MK-8669,MK-4541,SKMES1,909728,0.7516777885,lung,0.7516778,0.4527232,0.2989546
SORAFENIB,MK-8776,LNCAP,907788,0.6772554911,urogenital_system,0.6772555,0.9766612,0.2994057
MK-4827,MK-2206,RPMI7951,910903,15.7014186411,skin,15.701419,16.000875,0.2994566
SN-38,MRK-003,RKO,909698,15.0745471467,digestive_system,15.074547,14.773667,0.30087948
LAPATINIB,MK-8776,SKMES1,909728,2.188944708,lung,2.1889448,1.8823844,0.3065604
CYCLOPHOSPHAMIDE,DINACICLIB,RPMI7951,910903,6.489094289,skin,6.4890943,6.8017473,0.31265306
OXALIPLATIN,AZD1775,RKO,909698,-12.1339484118,digestive_system,-12.133948,-12.449135,0.3151865
MK-8776,LAPATINIB,SKMES1,909728,2.188944708,lung,2.1889448,1.8734783,0.31546652
DEXAMETHASONE,BEZ-235,NCIH1650,687800,27.2335107453,lung,27.233511,27.550606,0.3170948
TOPOTECAN,SUNITINIB,SKMES1,909728,-5.0059115616,lung,-5.0059114,-5.3365393,0.33062792
MK-4541,SN-38,LNCAP,907788,7.102346932,urogenital_system,7.102347,6.771286,0.3310609
BEZ-235,OXALIPLATIN,NCIH1650,687800,4.8318770269,lung,4.831877,5.1679,0.33602285
LAPATINIB,TEMOZOLOMIDE,LNCAP,907788,2.744736338,urogenital_system,2.7447364,2.405249,0.3394873
PD325901,5-FU,NCIH1650,687800,4.3253730787,lung,4.325373,3.9779522,0.34742093
MRK-003,SN-38,SKMES1,909728,6.8416177091,lung,6.8416176,7.192384,0.35076618
BEZ-235,CARBOPLATIN,SKMEL30,909726,34.9896809976,skin,34.98968,34.628872,0.36080933
VINORELBINE,SUNITINIB,MDAMB436,1240172,-3.4846049195,breast,-3.4846048,-3.8465047,0.36189985
PD325901,MK-4541,MDAMB436,1240172,-1.1904487997,breast,-1.1904488,-0.8280797,0.36236906
METHOTREXATE,DINACICLIB,RKO,909698,-11.6159930717,digestive_system,-11.6159935,-11.98082,0.3648262
MK-4541,MK-8669,SKMES1,909728,0.7516777885,lung,0.7516778,1.1178563,0.36617845
METHOTREXATE,BEZ-235,SKMEL30,909726,-3.8804496146,skin,-3.8804495,-4.2496724,0.36922288
ZOLINZA,DASATINIB,MDAMB436,1240172,6.9523645028,breast,6.9523644,7.3261967,0.37383223
DOXORUBICIN,DINACICLIB,RPMI7951,910903,-9.4590071752,skin,-9.459007,-9.834077,0.37506962
VINBLASTINE,MRK-003,NCIH1650,687800,10.5562862021,lung,10.556286,10.180933,0.37535286
LAPATINIB,CYCLOPHOSPHAMIDE,MDAMB436,1240172,0.3717760651,breast,0.37177607,0.75122917,0.3794531
MK-8776,ABT-888,RKO,909698,-0.0172287476,digestive_system,-0.017228747,-0.39991644,0.3826877
TOPOTECAN,BORTEZOMIB,RPMI7951,910903,-6.338895574,skin,-6.338896,-6.722079,0.383183
AZD1775,METHOTREXATE,SKMEL30,909726,-9.6947975107,skin,-9.6947975,-9.310757,0.38404083
BEZ-235,DINACICLIB,LNCAP,907788,23.1004325245,urogenital_system,23.100433,23.485111,0.3846779
CYCLOPHOSPHAMIDE,L778123,LNCAP,907788,3.9684859037,urogenital_system,3.9684858,4.35576,0.38727427
SORAFENIB,GEMCITABINE,LNCAP,907788,-8.8029299273,urogenital_system,-8.80293,-8.409795,0.39313507
PD325901,AZD1775,SKMEL30,909726,4.6206626318,skin,4.6206627,5.013809,0.3931465
ABT-888,CYCLOPHOSPHAMIDE,MDAMB436,1240172,3.1367657673,breast,3.1367657,3.5339248,0.3971591
SUNITINIB,METHOTREXATE,LNCAP,907788,-9.9223614701,urogenital_system,-9.922361,-10.330505,0.408144
TEMOZOLOMIDE,METFORMIN,MDAMB436,1240172,-2.0164272382,breast,-2.0164273,-2.4276009,0.41117358
TOPOTECAN,AZD1775,NCIH1650,687800,5.6704187491,lung,5.6704187,6.085373,0.4149542
ERLOTINIB,MRK-003,MDAMB436,1240172,4.6795036313,breast,4.6795034,4.24821,0.4312935
TEMOZOLOMIDE,SUNITINIB,MDAMB436,1240172,6.6127279046,breast,6.612728,7.0469747,0.43424654
METHOTREXATE,DINACICLIB,SKMEL30,909726,-8.2217983904,skin,-8.221798,-8.660785,0.43898678
MK-4541,MK-5108,MDAMB436,1240172,2.3213963468,breast,2.3213964,1.8821505,0.43924582
L778123,SUNITINIB,RKO,909698,12.4700605981,digestive_system,12.47006,12.01917,0.45089054
MK-4827,DOXORUBICIN,MDAMB436,1240172,-6.414075394,breast,-6.4140754,-5.9614954,0.45257998
MK-5108,ETOPOSIDE,SKMES1,909728,-2.9218272851,lung,-2.9218273,-2.4670699,0.45475745
ABT-888,METFORMIN,RKO,909698,-4.9463838901,digestive_system,-4.946384,-4.491079,0.4553051
SN-38,GELDANAMYCIN,NCIH1650,687800,5.076055012,lung,5.076055,5.532251,0.45619583
LAPATINIB,MK-4827,MDAMB436,1240172,12.1096996137,breast,12.109699,12.568187,0.4584875
SUNITINIB,GEMCITABINE,RPMI7951,910903,-1.1155424535,skin,-1.1155424,-1.5773458,0.46180344
BORTEZOMIB,PD325901,NCIH1650,687800,-12.3615974947,lung,-12.361597,-11.896035,0.46556187
OXALIPLATIN,MK-8776,MDAMB436,1240172,4.9311307704,breast,4.931131,5.3967934,0.46566248
5-FU,DINACICLIB,OVCAR3,905933,2.7064693261,urogenital_system,2.7064693,2.232792,0.4736774
GELDANAMYCIN,SORAFENIB,NCIH1650,687800,-4.6070450567,lung,-4.607045,-4.1287045,0.47834063
GEMCITABINE,ABT-888,OVCAR3,905933,-7.5124526013,urogenital_system,-7.5124526,-7.02171,0.49074268
SUNITINIB,ABT-888,SKMES1,909728,10.2099092261,lung,10.209909,9.719111,0.490798
5-FU,LAPATINIB,MDAMB436,1240172,3.6446355785,breast,3.6446357,3.1501346,0.4945011
ERLOTINIB,MK-2206,NCIH1650,687800,30.0610846362,lung,30.061085,29.566248,0.4948368
LAPATINIB,SORAFENIB,SKMEL30,909726,14.2382959179,skin,14.238296,13.74107,0.49722576
METHOTREXATE,PD325901,SKMEL30,909726,-8.4439245065,skin,-8.443925,-7.9444222,0.49950266
DOXORUBICIN,ABT-888,OVCAR3,905933,-2.3348739828,urogenital_system,-2.334874,-2.8362086,0.50133467
AZD1775,MK-8776,MDAMB436,1240172,47.2274898422,breast,47.22749,47.735813,0.50832367
AZD1775,SUNITINIB,LNCAP,907788,-4.7990609756,urogenital_system,-4.799061,-4.2835193,0.51554155
SORAFENIB,MK-4541,NCIH1650,687800,5.5036706286,lung,5.5036707,6.025158,0.52148724
VINBLASTINE,LAPATINIB,NCIH1650,687800,-7.8940811366,lung,-7.894081,-8.420589,0.52650833
MK-8776,MK-4827,RKO,909698,11.4570027212,digestive_system,11.457003,10.927092,0.52991104
OXALIPLATIN,L778123,MDAMB436,1240172,-5.7507656409,breast,-5.750766,-5.2166452,0.53412056
AZD1775,VINORELBINE,SKMEL30,909726,-6.0062596334,skin,-6.0062594,-5.465692,0.5405674
SUNITINIB,ETOPOSIDE,MDAMB436,1240172,1.1020209051,breast,1.1020209,0.5531318,0.54888904
SORAFENIB,TOPOTECAN,RKO,909698,2.0832506359,digestive_system,2.0832505,2.6338875,0.550637
MK-8669,ABT-888,MDAMB436,1240172,6.9850269241,breast,6.985027,6.4290495,0.55597734
MK-5108,L778123,MDAMB436,1240172,7.6532587072,breast,7.653259,7.085075,0.5681839
DINACICLIB,PD325901,NCIH1650,687800,2.4623578804,lung,2.462358,3.0348787,0.57252073
GELDANAMYCIN,SN-38,RKO,909698,11.6277913929,digestive_system,11.627791,11.051403,0.57638836
5-FU,ABT-888,SKMES1,909728,-0.0864245794,lung,-0.08642458,0.49348977,0.57991433
CYCLOPHOSPHAMIDE,MK-4541,SKMEL30,909726,7.3471493781,skin,7.3471494,6.766858,0.5802913
BORTEZOMIB,L778123,LNCAP,907788,-9.2091685805,urogenital_system,-9.209168,-8.625478,0.58369064
MK-5108,L778123,NCIH1650,687800,3.4886563108,lung,3.4886563,2.9006865,0.5879698
ERLOTINIB,MK-2206,RPMI7951,910903,24.8385815855,skin,24.838581,24.239971,0.5986099
SUNITINIB,TEMOZOLOMIDE,MDAMB436,1240172,6.6127279046,breast,6.612728,7.2125444,0.5998163
SORAFENIB,METHOTREXATE,SKMES1,909728,-4.1667706936,lung,-4.1667705,-4.767076,0.60030556
PD325901,PACLITAXEL,RPMI7951,910903,7.9828285766,skin,7.9828286,8.588731,0.6059022
ABT-888,SUNITINIB,SKMES1,909728,10.2099092261,lung,10.209909,10.81947,0.60956097
ZOLINZA,METFORMIN,SKMEL30,909726,2.4228088583,skin,2.422809,1.810866,0.6119429
PACLITAXEL,AZD1775,OVCAR3,905933,-2.9553825335,urogenital_system,-2.9553826,-3.5678236,0.61244106
MRK-003,GELDANAMYCIN,LNCAP,907788,-3.9063945019,urogenital_system,-3.9063945,-4.524643,0.61824846
BEZ-235,MK-2206,NCIH1650,687800,40.361605075,lung,40.361607,40.97997,0.6183624
LAPATINIB,SUNITINIB,SKMES1,909728,20.3058991525,lung,20.305899,19.68735,0.61854935
LAPATINIB,ABT-888,SKMES1,909728,-2.8740037653,lung,-2.8740036,-2.2540698,0.61993384
DINACICLIB,5-FU,NCIH1650,687800,-2.1132235055,lung,-2.1132236,-2.7342741,0.6210506
AZD1775,L778123,LNCAP,907788,8.5629915546,urogenital_system,8.562991,7.94142,0.62157106
L778123,SUNITINIB,NCIH1650,687800,5.999936514,lung,5.9999366,5.37818,0.62175655
PD325901,BORTEZOMIB,NCIH1650,687800,-12.3615974947,lung,-12.361597,-12.986397,0.6247997
SN-38,PD325901,NCIH1650,687800,0.1854662136,lung,0.18546622,0.8121022,0.62663597
SN-38,ABT-888,RPMI7951,910903,23.8706315741,skin,23.870632,24.500292,0.62965965
BEZ-235,MK-4541,RPMI7951,910903,27.1004316578,skin,27.100431,27.731,0.63056946
BORTEZOMIB,MK-5108,NCIH1650,687800,-16.5493200647,lung,-16.54932,-17.181044,0.6317234
BORTEZOMIB,DEXAMETHASONE,MDAMB436,1240172,-0.8230284318,breast,-0.82302845,-0.19095823,0.6320702
GELDANAMYCIN,TEMOZOLOMIDE,RPMI7951,910903,-7.4032003393,skin,-7.4032,-6.767575,0.63562536
SORAFENIB,AZD1775,MDAMB436,1240172,-3.4964196996,breast,-3.4964197,-2.8592937,0.63712597
OXALIPLATIN,MRK-003,NCIH1650,687800,-14.8596766233,lung,-14.859676,-15.497979,0.6383028
SUNITINIB,METFORMIN,SKMEL30,909726,3.5887760785,skin,3.588776,2.949936,0.6388402
L778123,METFORMIN,MDAMB436,1240172,5.1459627603,breast,5.1459627,4.506274,0.6396885
L778123,LAPATINIB,RPMI7951,910903,18.5547725362,skin,18.554773,19.196335,0.6415615
GEMCITABINE,MK-5108,RKO,909698,-1.6322237611,digestive_system,-1.6322237,-2.2751303,0.64290655
GELDANAMYCIN,MITOMYCINE,LNCAP,907788,-8.8602053683,urogenital_system,-8.860206,-8.214526,0.6456795
ERLOTINIB,MK-2206,RKO,909698,17.294273079,digestive_system,17.294273,16.64664,0.6476326
TEMOZOLOMIDE,GELDANAMYCIN,RPMI7951,910903,-7.4032003393,skin,-7.4032,-6.7523046,0.6508956
GELDANAMYCIN,ETOPOSIDE,RKO,909698,-0.0900627685,digestive_system,-0.09006277,0.56095076,0.6510135
SUNITINIB,TOPOTECAN,SKMES1,909728,-5.0059115616,lung,-5.0059114,-5.6626854,0.65677404
VINORELBINE,AZD1775,SKMEL30,909726,-6.0062596334,skin,-6.0062594,-6.6643543,0.6580949
MK-2206,METHOTREXATE,SKMES1,909728,1.2661484847,lung,1.2661484,1.9376682,0.67151976
SUNITINIB,PACLITAXEL,NCIH1650,687800,-4.8583202686,lung,-4.85832,-5.5324025,0.6740823
MRK-003,LAPATINIB,RKO,909698,11.709510967,digestive_system,11.709511,12.39969,0.6901789
AZD1775,BORTEZOMIB,RKO,909698,-12.6766643513,digestive_system,-12.676664,-13.369408,0.6927433
MITOMYCINE,SORAFENIB,NCIH1650,687800,-33.5379431745,lung,-33.537945,-34.237717,0.6997719
CYCLOPHOSPHAMIDE,MK-2206,NCIH1650,687800,4.2364909267,lung,4.2364907,3.5280337,0.708457
ABT-888,MRK-003,RKO,909698,2.1442267506,digestive_system,2.1442268,1.4354563,0.7087705
CYCLOPHOSPHAMIDE,GELDANAMYCIN,SKMES1,909728,1.0591706844,lung,1.0591707,0.34378558,0.71538514
SUNITINIB,MK-4827,NCIH1650,687800,-0.8240954054,lung,-0.8240954,-1.541511,0.71741563
TOPOTECAN,MK-4541,RKO,909698,9.0035308656,digestive_system,9.0035305,9.725335,0.7218046
MK-5108,GEMCITABINE,RKO,909698,-1.6322237611,digestive_system,-1.6322237,-2.3542807,0.722057
ABT-888,DINACICLIB,RKO,909698,7.5137796841,digestive_system,7.5137796,6.7874746,0.726305
L778123,OXALIPLATIN,RPMI7951,910903,-1.7670696658,skin,-1.7670697,-1.0338701,0.7331996
L778123,DEXAMETHASONE,LNCAP,907788,11.2463555715,urogenital_system,11.246356,10.512455,0.733901
SORAFENIB,GEMCITABINE,RPMI7951,910903,-9.0143792991,skin,-9.0143795,-8.280114,0.7342653
L778123,MRK-003,OVCAR3,905933,3.0333824004,urogenital_system,3.0333824,2.2960553,0.7373271
ABT-888,MK-2206,LNCAP,907788,0.237390357,urogenital_system,0.23739035,-0.500033,0.73742336
PACLITAXEL,PD325901,RPMI7951,910903,7.9828285766,skin,7.9828286,7.2426586,0.74017
ETOPOSIDE,ZOLINZA,RPMI7951,910903,7.4967516848,skin,7.496752,8.2423725,0.7456207
LAPATINIB,DOXORUBICIN,SKMEL30,909726,2.5699702364,skin,2.5699701,3.3175154,0.74754524
5-FU,ZOLINZA,RPMI7951,910903,-0.2406381746,skin,-0.24063818,0.50953007,0.75016826
MRK-003,SUNITINIB,SKMES1,909728,9.7123416253,lung,9.712341,10.465383,0.75304127
MRK-003,ZOLINZA,SKMEL30,909726,-1.1622776303,skin,-1.1622776,-1.9239058,0.76162827
MK-8776,VINBLASTINE,MDAMB436,1240172,-11.2780251107,breast,-11.278025,-10.504574,0.77345085
LAPATINIB,MK-4827,NCIH1650,687800,2.5865502086,lung,2.5865502,3.3603694,0.7738192
BORTEZOMIB,LAPATINIB,OVCAR3,905933,-8.0798981759,urogenital_system,-8.079898,-7.3051457,0.77475214
BEZ-235,ZOLINZA,RPMI7951,910903,18.1088324088,skin,18.108833,17.326164,0.78266907
CYCLOPHOSPHAMIDE,SORAFENIB,RPMI7951,910903,-0.1632272509,skin,-0.16322725,-0.95214105,0.7889138
MK-8669,DOXORUBICIN,MDAMB436,1240172,6.36692512,breast,6.3669252,5.5775943,0.78933096
5-FU,MK-8669,LNCAP,907788,15.9940932912,urogenital_system,15.994093,16.78571,0.79161644
5-FU,MK-4541,RKO,909698,2.2463064214,digestive_system,2.2463064,1.4452362,0.8010702
ERLOTINIB,DINACICLIB,OVCAR3,905933,14.1431144922,urogenital_system,14.143114,13.328032,0.81508255
DOXORUBICIN,DINACICLIB,NCIH1650,687800,-11.2243421508,lung,-11.224342,-10.409216,0.8151264
ABT-888,DINACICLIB,MDAMB436,1240172,6.4474142557,breast,6.4474144,7.264047,0.81663275
TOPOTECAN,BEZ-235,MDAMB436,1240172,25.3989813614,breast,25.398981,26.216307,0.8173256
MRK-003,ABT-888,SKMES1,909728,1.9787136668,lung,1.9787136,1.1584742,0.8202394
MRK-003,VINBLASTINE,NCIH1650,687800,10.5562862021,lung,10.556286,9.736034,0.82025146
TOPOTECAN,AZD1775,MDAMB436,1240172,3.9596669116,breast,3.959667,4.7823772,0.8227103
L778123,DASATINIB,RPMI7951,910903,21.6048808654,skin,21.604881,22.432232,0.8273506
BEZ-235,MK-5108,SKMEL30,909726,27.0458167455,skin,27.045816,27.874828,0.8290119
ABT-888,MK-8776,RPMI7951,910903,-0.9447617693,skin,-0.94476175,-1.775184,0.8304223
GEMCITABINE,SORAFENIB,LNCAP,907788,-8.8029299273,urogenital_system,-8.80293,-9.636667,0.8337374
DOXORUBICIN,SORAFENIB,LNCAP,907788,-10.7349380675,urogenital_system,-10.734938,-11.570991,0.8360529
MK-4827,MITOMYCINE,RPMI7951,910903,4.8160342801,skin,4.8160343,3.9792507,0.83678365
SN-38,MK-4541,SKMES1,909728,-0.0988127729,lung,-0.098812774,-0.9361125,0.83729976
PD325901,OXALIPLATIN,RPMI7951,910903,-5.33346211,skin,-5.333462,-6.170923,0.837461
DINACICLIB,ERLOTINIB,OVCAR3,905933,14.1431144922,urogenital_system,14.143114,14.983445,0.8403311
DEXAMETHASONE,AZD1775,SKMES1,909728,3.4042496299,lung,3.4042497,4.244792,0.8405423
GELDANAMYCIN,ZOLINZA,RPMI7951,910903,-18.7707746859,skin,-18.770775,-19.611855,0.8410797
L778123,MK-8669,SKMES1,909728,30.6659123626,lung,30.665913,31.507786,0.84187317
AZD1775,PACLITAXEL,OVCAR3,905933,-2.9553825335,urogenital_system,-2.9553826,-3.7986844,0.8433018
CYCLOPHOSPHAMIDE,MK-2206,SKMES1,909728,4.8402021853,lung,4.8402023,5.68618,0.8459778
DINACICLIB,VINORELBINE,SKMES1,909728,-7.7662382965,lung,-7.766238,-8.628224,0.86198616
SN-38,SORAFENIB,RPMI7951,910903,2.7320197671,skin,2.7320197,1.8656712,0.8663485
AZD1775,BORTEZOMIB,LNCAP,907788,-11.5604641548,urogenital_system,-11.560464,-12.435338,0.8748741
MK-8776,SN-38,NCIH1650,687800,0.7846368909,lung,0.7846369,-0.09066835,0.8753053
MK-4541,ABT-888,RKO,909698,-3.4860790772,digestive_system,-3.486079,-2.6082096,0.87786937
PACLITAXEL,PD325901,OVCAR3,905933,2.2209422703,urogenital_system,2.2209423,1.3393595,0.88158274
MK-8776,MK-2206,NCIH1650,687800,8.2631521669,lung,8.263152,7.378602,0.8845501
GEMCITABINE,SUNITINIB,RKO,909698,-10.7329733409,digestive_system,-10.732973,-9.842557,0.89041615
MK-8776,ABT-888,SKMEL30,909726,-2.3211651128,skin,-2.321165,-1.4277976,0.8933675
TEMOZOLOMIDE,VINORELBINE,MDAMB436,1240172,-2.8716525094,breast,-2.8716526,-3.7650442,0.8933916
5-FU,ZOLINZA,NCIH1650,687800,0.6313037721,lung,0.6313038,-0.2638281,0.8951319
METFORMIN,SUNITINIB,SKMEL30,909726,3.5887760785,skin,3.588776,2.682143,0.90663314
