Drug1,Drug2,Cell line,ID,ZIP,Bliss,Loewe,HSA
5-FU,AZD1775,OV90,52638.5,-6.427499999999999,-3.4525000000000006,-7.145000000000001,0.0050000000000001155
5-FU,AZD1775,OVCAR3,54970.5,-1.6225,-1.5175,-9.2075,8.9925
5-FU,AZD1775,PA1,57302.5,12.9425,12.395,9.015,15.754999999999999
5-FU,AZD1775,RKO,59634.5,8.9425,8.595,9.7075,14.087499999999999
5-FU,AZD1775,RPMI7951,61966.5,3.96,3.83,5.3100000000000005,9.7875
5-FU,AZD1775,SK-OV-3,68886.5,5.6225,6.919999999999999,5.08,9.657499999999999
5-FU,AZD1775,SKMEL30,64222.5,10.035,11.540000000000001,4.0975,10.545
5-FU,AZD1775,SKMES1,66554.5,11.8575,11.1175,8.815,15.129999999999999
5-FU,AZD1775,SW-620,71218.5,7.4025,6.2075,5.0675,11.2125
5-FU,AZD1775,SW837,73550.5,-5.982499999999999,-5.092499999999999,-7.1875,4.8875
5-FU,AZD1775,T-47D,75882.5,-4.745,0.35000000000000003,5.19,6.01
5-FU,AZD1775,UACC62,77986.5,1.6400000000000001,3.21,4.87,7.64
5-FU,AZD1775,UWB1289,80318.5,-5.5225,-5.3500000000000005,-5.0175,2.965
5-FU,AZD1775,VCAP,84982.5,1.2875,6.7175,0.7549999999999999,6.15
5-FU,BEZ-235,A2058,10.5,2.51,3.8375,3.6675,7.5975
5-FU,BEZ-235,A2780,2342.5,4.29,3.5275,4.9525,9.299999999999999
5-FU,BEZ-235,A375,4650.5,3.695,2.2800000000000002,0.1425,5.744999999999999
5-FU,BEZ-235,A427,6910.5,0.3875,0.3175,6.3100000000000005,9.1125
5-FU,BEZ-235,ES2,18486.5,-2.715,-3.2424999999999997,-2.2800000000000002,2.4699999999999998
5-FU,BEZ-235,HCT116,20818.5,-2.0675,-2.545,-4.0875,2.4499999999999997
5-FU,BEZ-235,HT144,23046.5,-2.17,-1.6575,0.72,4.57
5-FU,BEZ-235,LNCAP,30042.5,0.5925,-0.6325000000000001,3.13,7.470000000000001
5-FU,BEZ-235,LOVO,32138.5,-2.585,-4.4875,-1.4125,1.5475
5-FU,BEZ-235,MDAMB436,34470.5,-5.0975,-5.2725,4.33,8.2575
5-FU,BEZ-235,MSTO,36802.5,-2.13,-4.029999999999999,-1.595,2.94
5-FU,BEZ-235,NCI-H460,45646.5,3.375,0.81,5.67,9.0
5-FU,BEZ-235,NCIH1650,38830.5,-4.2124999999999995,-3.1925,1.995,4.3725000000000005
5-FU,BEZ-235,NCIH2122,41162.5,2.12,2.17,4.7175,9.4825
5-FU,BEZ-235,NCIH23,43494.5,-3.4075,-4.425,-0.1925,4.725
5-FU,BEZ-235,NCIH520,47978.5,2.9225000000000003,1.2850000000000001,3.955,8.485
5-FU,BEZ-235,OCUBM,50310.5,2.9699999999999998,3.52,1.1700000000000002,9.82
5-FU,BEZ-235,OV90,52642.5,-0.125,0.35250000000000004,-10.6875,4.925
5-FU,BEZ-235,OVCAR3,54974.5,-2.4899999999999998,-2.5725000000000002,-8.7225,8.4525
5-FU,BEZ-235,PA1,57306.5,4.074999999999999,2.9799999999999995,6.76,11.0375
5-FU,BEZ-235,RKO,59638.5,-4.3100000000000005,-4.77,1.9674999999999998,7.48
5-FU,BEZ-235,RPMI7951,61970.5,-0.12750000000000017,-0.21250000000000002,1.2175,7.15
5-FU,BEZ-235,SK-OV-3,68890.5,4.4175,5.325,3.0,8.92
5-FU,BEZ-235,SKMEL30,64226.5,-15.797499999999998,-36.21,-37.6075,-32.677499999999995
5-FU,BEZ-235,SKMES1,66558.5,1.1075,1.3524999999999998,-7.1899999999999995,10.329999999999998
5-FU,BEZ-235,SW-620,71222.5,4.7675,4.86,6.475,10.622499999999999
5-FU,BEZ-235,SW837,73554.5,-4.4825,-5.8925,-6.2225,2.1275
5-FU,BEZ-235,T-47D,75886.5,6.785,7.515000000000001,9.58,11.537500000000001
5-FU,BEZ-235,UACC62,77990.5,-0.9750000000000001,-0.9450000000000001,-8.265,5.605
5-FU,BEZ-235,UWB1289,80322.5,-0.815,0.10249999999999998,5.6975,9.7525
5-FU,BEZ-235,VCAP,84986.5,1.0125,-1.1975,-10.4225,0.2450000000000001
5-FU,BORTEZOMIB,A2058,14.5,-2.395,2.8150000000000004,-3.3425000000000002,0.35250000000000004
5-FU,BORTEZOMIB,A2780,2346.5,2.3325,2.2675,-0.605,5.21
5-FU,BORTEZOMIB,A375,4654.5,0.9975,-1.2349999999999999,-13.4725,-0.7225
5-FU,BORTEZOMIB,A427,6914.5,1.3275000000000001,0.5725,-1.9725000000000001,2.4675000000000002
5-FU,BORTEZOMIB,ES2,18490.5,4.4425,4.442500000000001,3.165,6.4625
5-FU,BORTEZOMIB,HCT116,77076.2,0.5979999999999999,0.019999999999999928,-2.2760000000000002,1.318
5-FU,BORTEZOMIB,HT144,23050.5,-4.0125,-3.1925,-7.8125,-2.0175
5-FU,BORTEZOMIB,LNCAP,30046.5,0.33,1.02,-0.435,3.8100000000000005
5-FU,BORTEZOMIB,LOVO,32142.5,-0.37,-2.42,-4.655,-0.9299999999999998
5-FU,BORTEZOMIB,MDAMB436,34474.5,-1.145,-1.2225,-4.3625,0.9775
5-FU,BORTEZOMIB,MSTO,36806.5,10.2025,8.719999999999999,3.98,11.39
5-FU,BORTEZOMIB,NCI-H460,96935.4,-0.41,-4.0840000000000005,-3.97,-1.5480000000000003
5-FU,BORTEZOMIB,NCIH1650,38834.5,-3.4225000000000003,-4.585,-4.25,-2.9675000000000002
5-FU,BORTEZOMIB,NCIH2122,41166.5,2.7125000000000004,3.2024999999999997,2.2375,6.875
5-FU,BORTEZOMIB,NCIH23,95211.4,-2.592,-3.748,-5.254,-1.06
5-FU,BORTEZOMIB,NCIH520,47982.5,0.007500000000000173,-0.9199999999999998,-1.1400000000000003,0.7875
5-FU,BORTEZOMIB,OCUBM,50314.5,-4.0575,-2.7875,-4.7725,-1.0675000000000001
5-FU,BORTEZOMIB,OV90,52646.5,-1.53,-1.5574999999999999,-1.645,-1.3925
5-FU,BORTEZOMIB,OVCAR3,104391.6,-1.6740000000000002,-1.75,-2.088,0.528
5-FU,BORTEZOMIB,PA1,57310.5,-0.44000000000000006,-0.38750000000000007,-4.7925,1.6624999999999999
5-FU,BORTEZOMIB,RKO,59642.5,0.34750000000000003,-0.7024999999999999,-4.6875,0.5149999999999999
5-FU,BORTEZOMIB,RPMI7951,61974.5,-3.3274999999999997,-0.4849999999999999,-4.21,0.16499999999999998
5-FU,BORTEZOMIB,SK-OV-3,115526.2,-0.4620000000000003,1.1440000000000001,-7.511999999999999,2.834
5-FU,BORTEZOMIB,SKMEL30,64230.5,-21.9075,-57.7275,-62.6075,-57.9025
5-FU,BORTEZOMIB,SKMES1,66562.5,-1.1425,-2.6450000000000005,-1.6550000000000002,1.2325
5-FU,BORTEZOMIB,SW-620,117391.0,2.286,2.7520000000000002,-0.32399999999999984,4.154000000000001
5-FU,BORTEZOMIB,SW837,73558.5,-6.2375,-8.905,-4.7775,-2.9075
5-FU,BORTEZOMIB,T-47D,121124.6,-1.9780000000000002,-0.19400000000000012,-8.91,1.52
5-FU,BORTEZOMIB,UACC62,122806.6,-4.0920000000000005,-4.970000000000001,-7.032000000000001,-3.232
5-FU,BORTEZOMIB,UWB1289,80326.5,-2.11,-1.0725,-2.37,1.5325
5-FU,BORTEZOMIB,VCAP,84990.5,-0.6125,-3.9524999999999997,-27.252499999999998,-3.4625
5-FU,DASATINIB,A2058,18.5,1.5074999999999998,7.57,11.63,12.6675
5-FU,DASATINIB,A2780,2350.5,11.825000000000001,11.370000000000001,18.085,19.740000000000002
5-FU,DASATINIB,A375,4658.5,0.19249999999999967,0.9850000000000001,-2.035,4.34
5-FU,DASATINIB,A427,6918.5,2.2025,1.84,10.477500000000001,12.26
5-FU,DASATINIB,ES2,18494.5,0.96,7.4575000000000005,3.905,7.1975
5-FU,DASATINIB,HCT116,52918.0,3.5120000000000005,-1.1380000000000001,-8.538,-3.5420000000000003
5-FU,DASATINIB,HT144,23054.5,2.3975,1.8474999999999997,-9.7225,-6.485
5-FU,DASATINIB,LNCAP,30050.5,-8.425,-10.8625,-4.1225,-1.25
5-FU,DASATINIB,LOVO,32146.5,-1.17,-1.6425,3.4575000000000005,5.3825
5-FU,DASATINIB,MDAMB436,34478.5,-4.75,-2.0475,2.81,5.35
5-FU,DASATINIB,MSTO,36810.5,0.3375,-2.1325,7.7775,9.5775
5-FU,DASATINIB,NCI-H460,63887.0,3.532,2.822,2.2399999999999998,6.1579999999999995
5-FU,DASATINIB,NCIH1650,38838.5,-4.7375,-4.950000000000001,1.35,1.7750000000000001
5-FU,DASATINIB,NCIH2122,41170.5,8.692499999999999,3.91,-15.450000000000003,-7.25
5-FU,DASATINIB,NCIH23,77253.8,-5.3100000000000005,-4.172,5.0600000000000005,6.5920000000000005
5-FU,DASATINIB,NCIH520,47986.5,-3.4575,-3.425,10.415,10.8825
5-FU,DASATINIB,OCUBM,50318.5,-6.545,-1.7049999999999998,0.795,2.9374999999999996
5-FU,DASATINIB,OV90,52650.5,-3.1049999999999995,-3.0375,-6.180000000000001,2.1174999999999997
5-FU,DASATINIB,OVCAR3,87960.0,-6.306,-5.703999999999999,5.758,6.6899999999999995
5-FU,DASATINIB,PA1,57314.5,4.717499999999999,3.9450000000000003,10.7575,13.1175
5-FU,DASATINIB,RKO,59646.5,-1.7775,0.6,5.23,6.279999999999999
5-FU,DASATINIB,RPMI7951,61978.5,-5.305,-4.6975,0.6599999999999999,4.12
5-FU,DASATINIB,SK-OV-3,95808.2,-1.846,-2.146,-2.442,2.1879999999999997
5-FU,DASATINIB,SKMEL30,64234.5,12.2775,11.607499999999998,-7.142499999999999,-1.2850000000000001
5-FU,DASATINIB,SKMES1,66566.5,-8.5225,-9.2525,-3.8625,1.4075
5-FU,DASATINIB,SW-620,93117.2,7.017999999999999,9.016,10.3,12.606000000000002
5-FU,DASATINIB,SW837,73562.5,-10.4625,-9.035,3.685,5.545
5-FU,DASATINIB,T-47D,104314.8,-8.37,-3.17,5.162,5.874
5-FU,DASATINIB,UACC62,99021.6,-4.040000000000001,0.47199999999999986,3.134,4.247999999999999
5-FU,DASATINIB,UWB1289,80330.5,-4.7425,-5.095000000000001,0.21749999999999997,2.845
5-FU,DASATINIB,VCAP,84994.5,-1.5975000000000001,6.025,5.3125,5.945
5-FU,DINACICLIB,A2058,22.5,2.5549999999999997,5.715,4.5475,7.72
5-FU,DINACICLIB,A2780,2354.5,2.9325,2.0975,-2.1925000000000003,3.6075
5-FU,DINACICLIB,A375,4662.5,3.185,4.1875,-3.765,4.9375
5-FU,DINACICLIB,A427,6922.5,0.39749999999999996,-1.5299999999999998,-2.8175000000000003,2.9825
5-FU,DINACICLIB,ES2,18498.5,2.055,2.7399999999999998,-6.51,4.74
5-FU,DINACICLIB,HCT116,20830.5,4.5325,2.34,0.1,5.715
5-FU,DINACICLIB,HT144,23058.5,-3.2474999999999996,-2.31,-16.11,0.45999999999999996
5-FU,DINACICLIB,LNCAP,30054.5,6.1575,1.9400000000000004,-1.305,5.52
5-FU,DINACICLIB,LOVO,32150.5,0.17000000000000004,-2.58,-6.135000000000001,-0.6575000000000001
5-FU,DINACICLIB,MDAMB436,34482.5,-1.905,-3.4675,-3.6775,0.0824999999999999
5-FU,DINACICLIB,MSTO,36814.5,3.5150000000000006,2.1799999999999997,3.2425,5.67
5-FU,DINACICLIB,NCI-H460,45658.5,0.4075000000000002,-1.1,-3.655,1.5949999999999998
5-FU,DINACICLIB,NCIH1650,38842.5,-0.0625,1.7225000000000001,-1.5724999999999998,3.66
5-FU,DINACICLIB,NCIH2122,41174.5,3.0475000000000003,3.4025,3.1799999999999997,7.077500000000001
5-FU,DINACICLIB,NCIH23,43506.5,-1.0025,-2.515,-2.3775,1.17
5-FU,DINACICLIB,NCIH520,47990.5,0.9149999999999999,0.9075,-5.22,3.7525
5-FU,DINACICLIB,OCUBM,50322.5,2.6049999999999995,3.8049999999999997,-7.41,6.4425
5-FU,DINACICLIB,OV90,52654.5,-3.0475,-3.7625,-4.985,-1.1424999999999998
5-FU,DINACICLIB,OVCAR3,54986.5,-0.82,-0.6925,-11.25,4.27
5-FU,DINACICLIB,PA1,57318.5,3.3525,3.085,-1.445,4.455
5-FU,DINACICLIB,RKO,59650.5,-1.325,-1.4475,1.09,5.13
5-FU,DINACICLIB,RPMI7951,61982.5,-1.5274999999999999,-1.7825000000000002,-8.5975,-0.45
5-FU,DINACICLIB,SK-OV-3,68902.5,-2.3325,3.4450000000000003,-5.33,1.0
5-FU,DINACICLIB,SKMEL30,64238.5,-19.2575,-45.62,-55.2425,-43.59
5-FU,DINACICLIB,SKMES1,66570.5,-4.1274999999999995,-3.3049999999999997,-3.5475,1.1225
5-FU,DINACICLIB,SW-620,71234.5,2.9025,3.095,-2.4425000000000003,3.2800000000000002
5-FU,DINACICLIB,SW837,73566.5,-5.6499999999999995,-8.125,-10.98,-4.19
5-FU,DINACICLIB,T-47D,75898.5,-3.0574999999999997,-0.5950000000000002,-3.165,4.095
5-FU,DINACICLIB,UACC62,78002.5,-2.6525,-0.6425000000000001,-15.267499999999998,3.7125000000000004
5-FU,DINACICLIB,UWB1289,80334.5,0.275,0.06500000000000006,-2.62,2.1125
5-FU,DINACICLIB,VCAP,84998.5,1.9375,2.0625,-14.907499999999999,1.1174999999999997
5-FU,ERLOTINIB,A2058,26.5,8.252500000000001,11.585,11.785,14.344999999999999
5-FU,ERLOTINIB,A2780,2358.5,15.215,14.84,14.09,18.39
5-FU,ERLOTINIB,A375,4666.5,1.12,4.985,0.9875,8.0875
5-FU,ERLOTINIB,A427,6926.5,7.615,7.967499999999999,9.7075,14.702499999999999
5-FU,ERLOTINIB,ES2,18502.5,8.9825,7.4725,8.8825,8.6075
5-FU,ERLOTINIB,HCT116,20834.5,3.6525,3.7924999999999995,-0.2925,7.1075
5-FU,ERLOTINIB,HT144,23062.5,-1.59,1.5699999999999998,-0.5625,6.42
5-FU,ERLOTINIB,LNCAP,30058.5,-1.3275000000000001,-4.01,-2.84,2.5875
5-FU,ERLOTINIB,LOVO,32154.5,0.7525,0.4725,4.3375,7.295
5-FU,ERLOTINIB,MDAMB436,34486.5,-2.6,-1.7725000000000004,4.6175,6.785
5-FU,ERLOTINIB,MSTO,36818.5,-1.8724999999999998,-9.685,-3.0175,0.6849999999999996
5-FU,ERLOTINIB,NCI-H460,45662.5,2.1075,2.05,5.3725,7.7225
5-FU,ERLOTINIB,NCIH1650,38846.5,-5.3774999999999995,-4.8625,3.1875,4.3475
5-FU,ERLOTINIB,NCIH2122,41178.5,4.0575,3.4425,8.057500000000001,11.1375
5-FU,ERLOTINIB,NCIH23,43510.5,-1.0375,-2.5975,2.4749999999999996,5.932499999999999
5-FU,ERLOTINIB,NCIH520,47994.5,1.1775,0.6825,0.2825,4.0725
5-FU,ERLOTINIB,OCUBM,50326.5,7.3675,8.112499999999999,4.9975000000000005,13.1125
5-FU,ERLOTINIB,OV90,52658.5,-6.0275,-3.5774999999999997,-1.6624999999999999,0.5325
5-FU,ERLOTINIB,OVCAR3,54990.5,-0.6575000000000001,-0.23250000000000007,9.370000000000001,12.4
5-FU,ERLOTINIB,PA1,57322.5,8.87,7.6,5.075,10.182500000000001
5-FU,ERLOTINIB,RKO,59654.5,1.9300000000000002,1.5175,4.9,7.852500000000001
5-FU,ERLOTINIB,RPMI7951,61986.5,0.63,3.0999999999999996,5.4825,7.7525
5-FU,ERLOTINIB,SK-OV-3,68906.5,1.99,3.4675000000000002,2.0250000000000004,7.735000000000001
5-FU,ERLOTINIB,SKMEL30,64242.5,3.0625,6.9275,6.237500000000001,9.69
5-FU,ERLOTINIB,SKMES1,66574.5,-3.9675,-4.3125,-0.17000000000000004,6.8175
5-FU,ERLOTINIB,SW-620,71238.5,10.22,8.395,20.465000000000003,8.545
5-FU,ERLOTINIB,SW837,73570.5,-6.355,-5.972499999999999,2.8375000000000004,5.89
5-FU,ERLOTINIB,T-47D,75902.5,-5.3,-3.0,-3.7175,3.0675
5-FU,ERLOTINIB,UACC62,78006.5,1.4075,3.66,5.6899999999999995,9.565
5-FU,ERLOTINIB,UWB1289,80338.5,-5.8075,-5.2375,3.3575,5.897499999999999
5-FU,ERLOTINIB,VCAP,85002.5,1.2400000000000002,7.035,6.967500000000001,8.055
5-FU,GELDANAMYCIN,A2058,30.5,6.057499999999999,6.025,4.9025,8.8725
5-FU,GELDANAMYCIN,A2780,2362.5,4.1725,3.29,1.6275000000000002,7.0375
5-FU,GELDANAMYCIN,A375,4670.5,6.2924999999999995,5.55,3.79,8.965
5-FU,GELDANAMYCIN,A427,6930.5,2.5825,1.1425,1.1575,6.1075
5-FU,GELDANAMYCIN,ES2,18506.5,-4.029999999999999,0.1125000000000001,-0.0675,3.5700000000000003
5-FU,GELDANAMYCIN,HCT116,20838.5,2.95,1.4699999999999998,-0.22,4.7225
5-FU,GELDANAMYCIN,HT144,23066.5,3.2049999999999996,1.6225,-0.03749999999999996,5.9925
5-FU,GELDANAMYCIN,LNCAP,30062.5,0.4274999999999999,-0.8700000000000001,4.6425,7.995000000000001
5-FU,GELDANAMYCIN,LOVO,32158.5,3.5424999999999995,3.2824999999999998,-2.5350000000000006,3.6449999999999996
5-FU,GELDANAMYCIN,MDAMB436,34490.5,-8.59,-6.767499999999999,-1.0474999999999999,0.5675
5-FU,GELDANAMYCIN,MSTO,36822.5,2.2775,1.2925,0.7925000000000001,5.1925
5-FU,GELDANAMYCIN,NCI-H460,45666.5,1.4825,-0.6700000000000002,-2.58,2.205
5-FU,GELDANAMYCIN,NCIH1650,38850.5,-2.065,-1.7775000000000003,-2.7175,3.3425000000000002
5-FU,GELDANAMYCIN,NCIH2122,41182.5,1.2625,0.205,2.6975,6.3
5-FU,GELDANAMYCIN,NCIH23,43514.5,-2.9925,-5.215,-2.9575,-0.12750000000000006
5-FU,GELDANAMYCIN,NCIH520,47998.5,-3.8525,-5.165,-0.7750000000000001,2.6450000000000005
5-FU,GELDANAMYCIN,OCUBM,50330.5,-4.61,3.135,2.355,5.585000000000001
5-FU,GELDANAMYCIN,OV90,52662.5,4.255,1.0775,-3.6725,3.635
5-FU,GELDANAMYCIN,OVCAR3,54994.5,-1.005,0.45,3.2575,5.5175
5-FU,GELDANAMYCIN,PA1,57326.5,4.095,3.7699999999999996,0.8999999999999999,6.695
5-FU,GELDANAMYCIN,RKO,59658.5,0.87,-0.4999999999999999,-6.3025,3.9699999999999998
5-FU,GELDANAMYCIN,RPMI7951,61990.5,-3.6125000000000003,-3.0900000000000003,-8.4,-0.7625
5-FU,GELDANAMYCIN,SK-OV-3,68910.5,1.4425000000000003,1.6600000000000001,-0.39250000000000007,3.6599999999999997
5-FU,GELDANAMYCIN,SKMEL30,64246.5,-12.37,-33.3025,-35.91,-31.78
5-FU,GELDANAMYCIN,SKMES1,66578.5,-1.1349999999999998,-2.1799999999999997,-0.9099999999999999,5.0600000000000005
5-FU,GELDANAMYCIN,SW-620,71242.5,4.529999999999999,3.8275,1.1949999999999998,7.007500000000001
5-FU,GELDANAMYCIN,SW837,73574.5,-5.515000000000001,-5.789999999999999,-1.0450000000000002,2.1624999999999996
5-FU,GELDANAMYCIN,T-47D,75906.5,2.3600000000000003,7.545000000000001,8.625,9.565000000000001
5-FU,GELDANAMYCIN,UACC62,78010.5,-3.4875000000000003,-3.035,-4.4350000000000005,0.79
5-FU,GELDANAMYCIN,UWB1289,80342.5,2.3775,2.1950000000000003,9.887500000000001,3.73
5-FU,GELDANAMYCIN,VCAP,85006.5,1.755,2.165,5.3149999999999995,2.3325
5-FU,L778123,A2058,34.5,4.6525,7.672499999999999,8.9,12.379999999999999
5-FU,L778123,A2780,2366.5,2.9675000000000002,2.935,8.247499999999999,12.055
5-FU,L778123,A375,4674.5,3.0675,4.2575,7.210000000000001,9.282499999999999
5-FU,L778123,A427,6934.5,-2.0825,-0.6125,2.8475,7.92
5-FU,L778123,ES2,18510.5,3.7350000000000003,3.9675000000000002,5.734999999999999,10.1375
5-FU,L778123,HCT116,20842.5,2.55,2.2,4.3775,8.6975
5-FU,L778123,HT144,23070.5,-8.6375,-5.5075,0.3325,2.9325
5-FU,L778123,LNCAP,30066.5,-4.6875,-4.842500000000001,2.4924999999999997,6.5
5-FU,L778123,LOVO,32162.5,-2.8425,-3.0375,2.4675,4.595
5-FU,L778123,MDAMB436,34494.5,-6.6975,-5.1275,3.3899999999999997,6.1225000000000005
5-FU,L778123,MSTO,36826.5,-2.67,-3.13,3.0050000000000003,7.760000000000001
5-FU,L778123,NCI-H460,45670.5,-4.827500000000001,-4.215,-2.1825,1.865
5-FU,L778123,NCIH1650,38854.5,-5.7875000000000005,-2.4875000000000003,5.225,7.145
5-FU,L778123,NCIH2122,41186.5,-6.317500000000001,-6.175000000000001,2.8475,6.907500000000001
5-FU,L778123,NCIH23,43518.5,-7.664999999999999,-6.6175,1.6324999999999998,5.217499999999999
5-FU,L778123,NCIH520,48002.5,3.3475,3.3125,9.445,13.32
5-FU,L778123,OCUBM,50334.5,-6.36,-3.3674999999999997,5.922499999999999,7.68
5-FU,L778123,OV90,52666.5,-2.86,4.39,7.2275,8.307500000000001
5-FU,L778123,OVCAR3,54998.5,7.3325000000000005,6.905,-6.66,0.6675
5-FU,L778123,PA1,57330.5,7.165000000000001,6.93,10.329999999999998,15.56
5-FU,L778123,RKO,59662.5,-6.687500000000001,-6.325,2.115,5.035
5-FU,L778123,RPMI7951,61994.5,-8.285,-4.185,1.365,4.9350000000000005
5-FU,L778123,SK-OV-3,68914.5,2.8425,8.785,6.035,9.96
5-FU,L778123,SKMEL30,64250.5,-17.665000000000003,-44.105000000000004,-44.2675,-38.53
5-FU,L778123,SKMES1,66582.5,-7.875,-6.7975,2.1425,5.7725
5-FU,L778123,SW-620,71246.5,2.0025,3.1425,5.8125,10.225
5-FU,L778123,SW837,73578.5,-9.3725,-10.35,-6.7225,-2.1025
5-FU,L778123,T-47D,75910.5,1.0950000000000002,5.3425,12.7425,13.4125
5-FU,L778123,UACC62,78014.5,-6.455,-1.5200000000000002,3.1549999999999994,5.68
5-FU,L778123,UWB1289,80346.5,-2.95,-2.5125,8.02,10.7275
5-FU,L778123,VCAP,85010.5,-3.2125,5.577500000000001,2.1475,8.7475
5-FU,LAPATINIB,A2058,38.5,4.92,9.627500000000001,7.685,11.1625
5-FU,LAPATINIB,A2780,2370.5,15.875,14.585,10.3275,16.735
5-FU,LAPATINIB,A375,4678.5,-0.8575000000000002,-0.0050000000000000044,-3.9124999999999996,2.1075
5-FU,LAPATINIB,A427,6938.5,3.1125000000000003,2.2350000000000003,4.635,8.745
5-FU,LAPATINIB,ES2,18514.5,-0.040000000000000036,1.7049999999999998,0.8325000000000002,3.1375
5-FU,LAPATINIB,HCT116,80282.2,-1.6939999999999997,-2.528,-4.206,0.8200000000000001
5-FU,LAPATINIB,HT144,23074.5,-4.885,-0.44499999999999984,1.54,4.595000000000001
5-FU,LAPATINIB,LNCAP,30070.5,-3.775,-8.69,-4.2225,-0.3500000000000001
5-FU,LAPATINIB,LOVO,32166.5,1.645,1.1725,7.385,9.622499999999999
